字段1_文本,字段2,时间,字段3,时间1
烧x2,"本来去年家里就想买这个车，但是9月份才开始交付，估计年内提不到车，怕指标过期，就先买了别的电车。后来有一次陪朋友试驾过一次，发现驾驶感受、智能化等方面比当时买的电车好不少，空间也没有想象中的局促，心里就有点后悔没买精灵1号。
    今年过年的时候媳妇在展厅看到哑光灰色的实车以后瞬间不淡定了，正赶上今年结婚10周年了，那就换一辆当做给媳妇的礼物了。运气好在海鲜市场收到了一个去年7月底大定的哑光灰Premium订单，果断卖车换精1号。
    【外观】外形像个圆滚滚的小胖墩，有萌的地方，也有帅的地方，哑光灰是真滴好看
    【动力】零百7秒+的电车我都能忍受，精灵1号的动力完全满足我的需要?
    【转向】指向性还是在线的，无限接近指哪打哪
    【底盘】底盘很紧实，滤震尚可，过减速带很润，略微带点韧性，没什么多余的弹跳，但细碎的颠簸滤的不是很彻底，侧倾抑制的也一般。总体来说，虽然这车重心不低，但也不会有开船的感觉
    【续航】今天刚从交付中心开出来，动能回收标准，全程22℃自动空调，9%的电开了45公里，感觉还好。
    【车机&智能化】车机功能中规中矩，还有优化的空间，app端功能不少，蓝牙钥匙目前还挺好使，不知道过段时间会不会慢慢拉胯?语音控制还可以，识别比较精准，足够我使用
    【内饰】触感金内饰，反光问题存在，但我自己不觉得影响视野和行车安全，所以默默地把遮光垫从购物车里给删了?塑料件不少，但视觉上不会有太强的塑料感，而且身体能触碰到的地方大部分还是软包的，只是没有那么软；氛围灯一股奔驰味儿，说实在的我不是很感冒
    【空间】从试乘试驾的时候就在关心空间问题，前排调整到我的驾驶坐姿（我身高180cm），后排膝部仍然有一拳以上的空间（我坐在后排），即使葛优瘫也不会顶膝盖，头部空间更是富余，可以说是用尽了2750的轴距和1600+的高度。但4米2的车身长度摆在那，牺牲了后备箱的空间，但好在后排座椅可以向前移动为后备箱拓展10cm左右的深度，而且后备箱下层也有不小的空间，我已经把露营的敞篷椅子垫子之类的东西都放在下层了，居然都能放进去，十分出乎我的意料。这车的空间，足够我们一家三口的各种需求
    【其它】无线充电我给关了，功率一般还发热，导航一路没充进去电，手机还掉了1%的电，我人傻了；驾驶辅助体验不错，无功无过；抬头显示很清晰；试驾的时候刹车前段太敏感了，很容易点头，现在更新1.1.8以后解决了，刹车比较线性；单踏板模式无敌节能
    【温馨提示】车内后视镜有一圈透明的塑料边框是可以取下来的，取下来之后你就得到了一个无边框后视镜，瞬间提升内饰精致感，亲测有效?
    今天刚提车，后续的用车感受待开过一段时间后再来分享吧！",2023-04-28,北京,
上海自来水来自海上k,"【购车经历】
已有一台油车奥德赛，今年年初的时候有了添置一台新能源车的需求，看来看去只有smart/沃尔沃C40/飞凡R7/特斯拉Model Y在备选范围内。最后决定挑一台尺寸小的车方便市区出行，那同价位几乎就只有smart可选了。1月22下了定金开始漫长的等待，最终在4月的第二天成功提车。

【提车价格】
车价23万39，算上保险不到24万。
加上家充桩24万出头吧。

【驾驶感受】
1⃣️外观内饰很有设计感，买的心动版，带氛围灯。纠结黑内饰或金内饰的建议看实车后再决定，我买车时金内和黑内都看了，都挺讨人喜欢的。最后选的金内，目前很满意！怕反光的可以选心动版触感金。
2⃣️beats音响满意，比另一辆奥德赛强不少。车机很流畅，一个大地球在当中很有特色，但目前支持的app比较少，希望能持续优化。
3⃣️配置高，对于付费订阅能接受毕竟按需购入嘛，后续会永久买断座椅通风。带HUD且相当好用，天幕还带遮阳帘，给好评。
总结一下：行驶质感在线，设计质感在线，用料符合价位，符合对于这个价位的小车的期待。加速有惊喜，整体属于好看又好开，目前很满意～

【续航】
能耗控制不错。跑高速多的话大概能300出头不到350。市区还是很省的，估测过400没问题。时速110地板电，提速非常快且平顺。提车没几天就开了250公里高速，平均能耗 18.4；在市区，开舒适模式、最低动能回收、音乐空调都开着，能耗在13-14的样子。
整体上对续航是满意的。

【销售态度】
销售和交付的态度很好，但厂家的购车流程需要优化，效率有点低了。现在改进了不少，产能也上来了，精致小车还是值得选择的！",2023-04-09,上海,
嘿你的怡宝,🌈外观方面：真的是越看越喜欢，悬浮车顶的小帽子可以随意改变颜色，彰显个人特色，黑的白的黄的绿的蓝的紫的，各种任君选择。可玩性很高、不同帽子换着玩。 🚗内饰方面：奔驰设计一贯的风格，精致美观、很有高级感。pro+小黄帽的内饰更是细节感拉满，方向盘上的黄色缝线和座椅上的黄色点缀都是满满细节体现。 🔧配置方面：个人觉得pro+版本足够用了，辅助驾驶在高速和晚上非常有用，对我有很大帮助。但是女孩子可能喜欢香氛功能和beats音响还有彩色灯，就可玩性更高，但是pro+也够用，想有自己的喜好和需求，那么心动版可能更合适。 🛻空间方面：车内空间很大，坐下很宽敞，一车5个人完全没问题！我的朋友身高183体重180斤，坐上驾驶位也不挤，后排座椅看起来以为会挤，但是坐下后非常宽敞。只是后备箱空间确实有点小、装不了太多东西，代驾的时候折叠车都有些许勉强。 🔋续航方面：实测冬季330km、夏季430km。整体够用，但是还是会有些许电量焦虑，我不是个黄金右脚，相对电耗13-15左右、但是现在服务区充电也还是方便，快充半小时可以从15%—80%左右，就当旅途中的break time也不错。 🤖️smart精灵一号还是相对比较智能的，很多操作平时都是呼叫小精灵帮我完成，导致自己都不知道实际操作的界面原本在哪里。但是偶尔还是有些操作他没办法完成，特别是启动车的时候，车机开启特别慢，希望本次ota升级后能有更大改善。 🛞提车7个月了，驾驶感受总体都不错，但是因为无边框车窗的设计导致开高速的时候风燥相对有点大。所以音乐我就会开很大声。但是无框也有无框的好处，就是下雨打伞真的很方便，不过下雨开窗的一瞬间可能因为车型设计原因，雨水会直接从顶上流进车里，稍微有点尴尬。 💰用车成本其实很低，因为我家里没法安装充电桩，按照我每天通勤40km计算，平均一周充电一次，每次充电50元左右，一个月用车成本200元，真的很棒！如果能安装家用电桩，那么用车成本还能大大降低。 总而言之，看得越久看我的暗夜精灵越久，我就越来越满意、越来越喜欢❤️,2023-09-21,成都,
村长Yuz,"发布会当天小定，全国前150号订单，6号晚上APP原因下不了大定，于7号早上8点左右大定。期间退订了ET5（那会被告知今年无法提车）。8月26日升级巴博斯。11月18日配置锁定，12月4日车辆锁定，12月6日发运，12月7日到店，12月9日提车上牌半天搞定。选择的线上验车，车是11月生产，目前为止暂未发现问题。
整体驾驶感受不错，地板电感受比极氪YOU版强烈，由于底盘重心较高侧倾相对明显，座椅包裹性不是很好。刹车脚感偏软，信心不是很足。隔音合格水平。在这里要说下蓝牙钥匙的问题，车辆经常性识别不了，走到车边依旧要掏出手机打开APP主动接连才能解锁。解锁上车后还有无法识别钥匙，挂不上D档的问题，解决办法还是打开APP爱车界面。希望后期OTA能解决蓝牙钥匙问题。目前综合电耗20左右，由于里程较少，仅作参考。
这个价格来说，车子还是不错的。

外形动感时尚，内饰精致有格调，前后双电机零百3秒9。无框车门，碧池音响。非常符合现在年轻人的审美。全景天幕带伸缩遮阳帘好评，后排座椅能前后移动好评，空间灵活多变好评。纵向头部空间富余，好评。后排腿部空间同级别优秀，好评。透明遮阳帘好评，手套箱挂钩好评。整体行驶质感好评，转向手感个人觉得优于某氪。标配轮毂个人觉得挺好看，之前目前没有找到更合适的轮毂，暂时没有换轮毂的打算。对这个车总体比较满意。",2023-09-21,杭州,
用户2556850353091,提车差不多开了一周，总算快弄好了，换个车算是over，按销售推荐够了个心动版，差不多从下单到提车挺快就一个月，可能是最近产能释放 选smart主要因为老小区停车太不方便，又需要内部空间大些，SUV看起来耐草一点，外观还挺好，平时通勤用 1. 驾乘还可以，动力平常城市开开肯定够了，操控不错，至少刹车不用会员，呵呵，空间蛮好，比试车时候预想还充足点 2. 续航还得看看，后面再来跟新吧，目前市里跑跑耗能好像接近百公里15º电，估计冬天还要再拉垮点，但一般通勤或者周边100-200公里辐射范围应该是够的，充电试了一下80A从60%-90%用了40分钟 3. 车机感觉还能接受，可能最近OTA跟新了，也许自身要求不那么高，手机蓝牙大部分时间是可以连上，但还是带着钥匙以防万一（客服推荐），导航么大部分也行，在高架下面不大好，凑合好用，360让我终于不用下车看狭窄的位置了，hud及辅助提醒好评，迎宾座椅设置也好用，就是贴了膜好像后视镜有点反光，但无大碍 4. 其他功能等后续再补充，还不熟悉 5. 送了个游戏手柄，能连接，但游戏大厅无感，然后需要充值了。。。 6. 用了一周后蓝牙挂了，见图六，但用手机远程连接的还是可以单用手机开门的，就是反应很慢，还是一定要带圆饼钥匙?，新更新的1.1.8没解决车机拉垮问题 7. 交付时候基本无仪式，看售后那个地方估计不会有太好的服务，付了钱后基本理睬的就不那么热情了，不过还好有游戏中心放了个NS贴膜1个小时时间就这么过去了，只能祈祷?车不出问题 8. 第一次高速体验，苏州到上海来回225km，如图七，从基本上满电到45%，还剩150km的电，平均耗电大概还是百公里15.7º电比普通路程稍高一点，高速上瞬间加速耗电最大百公里60多,2023-05-13,苏州,
戒音kkk,"今年5月定车，6月初提的车，提车速度对比去年快了很多，购买之前做过不少攻略，本来做好长时间等待的心理准备，没想到2周就提到车了，算是个惊喜。售后目前看来也没某书上说的那么糟糕，都算有问必答，去过一次拿备用钥匙，还主动帮忙把车洗了，饮料点心也有提供。希望能保持住！

作为一个刚拿到驾照不久的新手，定车之前也试驾了几辆差不多价位的车（包括油车），说不了太专业，只能说精灵1不管外观、内饰还是氛围灯真的在我心里排第一，其次操控性也算不错，用低回收和comfort模式感受很接近油车，不会油门一踩直接冲出去，刹车也能平缓过渡，我妈坐滴滴电车经常晕车的人坐我的车也从不晕。

空间上也很惊喜，本来以为会很小，结果没想到前排后排空间都很大，上方有电动遮阳板，即使关着的状态，我1.9m的男性朋友坐着都算舒适，没有顶头的感受。

电耗上来说，官方数据是560续航，因为我目前只体验过盛夏驾驶，外面38的天气空调开在22度左右，充到100%的状态，不开高速的情况大概能开460公里，不功不过算是正常，估计冬天会再低一些，不过城市通勤和偶尔近郊附近城市跑跑还是足够的，要跑长途还是油车更合适。

其他方面，因为车内空间比较大，相对来说后备箱就显得有点小，不过如果需要搬运大件，后排座位能放平，还是可以稍微补足这个缺点。
还有就是智能化，目前车机还是有需要优化的地方，但是官方ota升级还是挺勤快的，有在慢慢提升。
哦对，这车虽然看起来小，但是转弯半径不算小，可能是因为轴距不小的关系。

最后，前阵子看到几个精灵1的碰撞测试，国内国外都有，都拿到了很高的分数，安全性上也给了我很大的信心！",2023-09-20,上海,
中盛智能科技,"[选择理由]
对我来说，选购时主要支撑我选择的理由如下:
外观、内饰颜值超高
个性、精致、有质感、有格调
加速、续航性能都很好
智能化、配置也很高
轴距、空间也挺不错
价格比较合理

[购买过程]
之前有同事有一辆smart fortwo ，小巧玲珑的觉得很有个性，坐过2次觉得内部空间也挺大的，挺有好感。后来看到懂车帝新车预告的信息，然后开始关注smart 的电车。之后就在微信公众号盲订了(对，没试驾过，连官方APP都没下载)，不过犹豫了下，没有赶在6.6当天订，为后来的国补损失买单了！接下来就是漫长的等待，等待过程中又为没有在2022.10月改pulse心动版买单了，最后导致失去了国补机会，而且足足等了9个月。这里的心路就不在复述了，太揪心了！


[使用感受]
人生第一辆车，也没开过什么豪车，就觉得开smart还是挺有信心的。加速，转向，刹车，滤震都挺满意，唯一一点车速过快转弯时有点侧倾。
内饰氛围也挺满意，开着小车车，听着beats音响效果的音乐很是愉悦和满足。

[主要优点]
1 颜值超高，很有个性
2 空间不大，但是利用率很高，后排座椅可前后调节是一个大优点，后排座椅放倒后比一般轿车载物能力强很多
3 自适应巡航辅助驾驶和车道保持还是很香的，每次上高速必打开，无钥匙解锁启动，离车自动锁车，等等智能化功能还是很实用的
4续航能力不能说很优秀，也算能满足自己的需求
5 内饰氛围感挺好的，beats音响效果播放无损音乐对我来说已经很满足
6 行驶品质的话，个人不是很懂，过坑坎没有太多余震，个人满意。

[主要缺点]
1 之前交付太慢太慢了，这个应该是全网吐槽最多的吧
2 开了几千公里后，车内饰有些异响，后来去4s店处理了，据说是中控的屏幕螺丝松了点，后来帮我扭紧了些就不响了
3 辅助驾驶有个别时候还是不太智能，高速有道路维修的地方摆了雪花桶识别不准确不会自己降速，得人工接管
4 高速开了辅助驾驶的时候，人工打灯手动变道的时候辅助驾驶还是会有点干预，导致转向轴发出很大声的扭紧的响声，挺吓人的。
5 维修人工费挺高的

[最后总结]
一句话到目前为止，还没有后悔花24w买这个大玩具。",2023-08-16,深圳,
爱车的小宅,"先说结论，smart精灵的内饰真的是一个非常适合小姐姐的神车，质感拉满、光污染等等一堆元素加起来，就是一台斩女神神器！

首先是仪表盘，真的很可爱，中间还有个类似于星球的显示区域，不过唯一比较可惜的可能就是仪表盘稍微有点小，显示的信息有点少。

然后看这块巨大的中控屏，整体的设计都是偏向于ins风的可爱设计，中间是星球图标，左边是音乐的显示以及续航显示，右下角还有个宠物的版块，真的很可爱，可以说这块主屏幕显示的信息还是非常实用的。

进入到二级目录，可以看到Smart精灵是支持微信以及一系列app的，可以使用的app还是非常多的

设置界面简单明了想要的设置都能一眼找到

中控扶手箱比较小，配备了一个手机无线充电，只有两个水杯架，中控箱内基本上放不了什么大件但是整体的质感设计的还是非常出色的。

音响也采用了Beats品牌的，不知道在耳机届只能作为时尚单品的Beats在车上表现如何

后排配置只能说是简陋，除了两个空调出风口以外什么都没了。。。

因为前段时间Smart的花钱开功能这个点被吐槽了很久，所以我也点开了我手上这台，确实座椅通风和方向盘加热都需要付费开启，不过座椅加热是原厂自带的，这是为什么呢？价格也可以参考一下图片

最后不得不提，这个光污染，真的是随处可见都是氛围灯，不愧是跟奔驰师出同源！综合来说，这台车很适合女生一个人或者情侣两人出行，再多人的话就有点略显局促了。",2023-04-11,,
雨田哥567,9月底在苏州提车精灵1号心动版，开了一个月了，做个小总结： 1， 外观造型： 圆润，配合灯组造型，很有设计感，在如今汽车外形趋于同质化的当下，给人眼前一亮的感觉。是一台个性小车，路上也很有辨识度。车身整体大约4.2米。不过听说有个品牌最近出的新车和它有点像。 2， 乘坐感受：座椅乘坐舒适，做车内感觉车子比较宽，过窄路口担心剐蹭，不过借助360环影和侧方距离显示也没问题。坐姿也较高，女生开的话也没问题。 3， 乘坐空间：日常乘坐5人也没问题。不过买这个车大多数情况也是做2个人。后排座椅可以轻微前后移动，也算可以借出一点腿部空间。头部空间都很充裕，而且自带顶部遮阳帘。后背箱可以上下两层，空间不是特别大，如果要放大件就等后排放倒了。没有备胎，所以如果开长途记得多检查轮胎（也可以通过车内胎压监测查看）。 4， 动力和刹车： 我买的是单电机200kw，电门响应积极，驾驶视野良好，快超车也很轻松，日常使用足够用了。（如果追求跟快的速度可以考虑巴博斯版本，下次有空去感受） 5， 驾驶感受：转向轻盈，方向盘握感也舒适，指向性准确。刹车线性，不点头。 6， 电耗水平： 主要市区短途行驶，开了两次周边长途（目前最远就是140公里）。开舒适模式、开自动空调24.5度，开氛围灯，不要总急加速，平均电耗大约15kw。如果起步和急加速超车时，显示瞬时电耗就高的吓人了。 7， 辅助驾驶：在同一车道60km以上就可以开启辅助驾驶，但是想要通过打转向灯自动变道我只成果过两次，后期再研究一下，目前不太敢开自动驾驶，还没有自己开的放心。因为有侧方、超速提示和抬头显示，开车时可以更加专注于驾驶。听说新款的铂金版驾驶辅助自动化更高，以后有空再去了解一下。 有一点很方便下车再也不用担心车窗没关了，可以车辆设置后每次下车自动关闭所以车窗。 8， 保险上牌：本来新车也想在外面买保险，问了估不出价格，后来省的麻烦就店里买了大约6300多。上牌我自己去当地车管所排队，大约2个小时，130元。 9， 充电问题：安装了家用充电桩，每次充电需要用自带的卡片刷一下，看到呼吸灯就表示正在充电；也可以先插上慢充口，预约时间到了就自动充。日常使用从20%-90%大约6个小时45度电27元左右，峰谷电时段大约各一半。 10， 影音娱乐： 常规的操作可以通过语音完成，可以区分主驾还是副驾。在车里看了一次电影，音响和氛围感好，小两口偶尔这样体验还不错。送了手柄连接打游戏，但是太卡了，而且账号只能用1个小时，后来就删掉游戏软件。之后有空再了解一下。 11， 维护保养：店里说是1年或2万公里。具体保养情况后期更新。 12， 最后简单分享一下选车经历： 那段时间正好有空，把10-25万区间 的所有车都看了，也都去试驾了一下，具体试驾车型和感受后期有机会在分享。最后对比根据多个维度和使用场景决定还是入手精灵1。 以上个人感受分享，总体感受满意。想要买车的小伙伴可以参考一下。,2023-11-04,苏州,
玩车报告,"【最满意】Smart精灵#1主打的就是女性市场，外观时尚简约，应该是有史以来最大的smart车型，尺寸上轴距达到了2750毫米，比MINI countryman都长，悬浮式的撞色车顶显得很运动，个人最推荐月食黑和时光绿的搭配，既时尚又有越野感，D柱的车标在开门和锁车时都会发光，开门后打在地上的迎宾灯也炫酷。内饰方面更是延续了精致时尚的风格，胶囊型的门把手、头枕做工和触感都很高级，中控大屏清晰度也很高，环抱式的座舱配合多色线条氛围灯，科技感和时尚氛围哥十足，白色的座椅真的YYDS，女车主们选白内饰肯定不会错。

【驾驶感受】精灵#1开起来和奔驰的感受很像，不过因为是纯电车，不存在发动机噪音，所以在静音表现上非常出色，令人惊喜的是，连打转向灯的提示音都是有点可爱“嘟嘟”声，方向盘手感很扎实但不重，对于女性来说很友好，另外车机语音交互系统的形象小狐狸，在你开车时一直动来动去，几乎所有控制都可以语音完成，识别度也很精准，并且具备免唤醒功能，不用每次发语音指令都说一句“你好smart”。

【乘坐体验】这款车是一台5座SUV，空间上比以往的smart都大不小，一般女生坐在后排腿部空间有不小的富裕，座椅填充也比较到位，尤其前排2个座椅的侧向包裹性很强，对身材相对瘦小的女生照顾得比较到位，底盘对于路面的滤震表现也很到位，不过过较大的减速带时还是能明显感受到。",,,2022-11-14
汽车有文化,"【最满意】外形很出彩，有上一代的神韵在，但空间大幅度提升了，虽然车长只有4.2米但宽度和轴距其实和号称“奢宽轿”的某车已经不相上下了。所以内部空间已经看齐了A级合资车，后备箱虽然小但是因为取消了备胎的原因有一个深度可观的储物格，车身上储物空间也相当的多。同时后排座椅可调角度，可调前后距离，头部空间在电动车里相当出彩。

【最不满意】语音助手形象有付费更换我理解，但是座椅加热、方向盘加热和座椅通风，作为顶配车这几项配置显然是会加在卖车成本里的，现在要付费订阅之后才可以使用，你放在选装包里我都能理解，这种二次消费真的体验很差。
【驾驶感受】从0-60的驾驶体验堪比豪华车，底盘紧致、方向精准、6秒级的加速也很舒服但是60之后风噪、路噪就会变得明显了。

【续航方面】实车充满电冬季表显续航分为动态和标准两种，因为最近天气寒冷（白天也在零下）的原因都不太准。实际体验，空调+高速的状态在320公里左右，不过还要再吐槽一下方向盘加热，付费打开之后产热太低，不开空调，还是扛不住所以一直都要开空调。",,,2023-01-30
王大福Wonderful,【BRABUS】试驾，微凉的天气小记一笔。 离之前试驾MINI JCW有段日子了。明显的区别：不用等迟滞的涡轮，敢踩就能过；也不用听模拟的声浪（只有快速移动产生的风声，也许会吓到没有心理准备的其他交通参与者？）；车身灵动的感觉可能比JCW会稍微差一点点，但比起其它燃油，电车都属于一等的表现。 【外观4.5】 相比JCW接近，稍显死板，不够精巧细致。未来应该能有更好的表现。 【内饰5.0】 深黑的内饰，不容易出现浅内饰在玻璃反光的问题。竟然会是吸引我的一个点。当然，方向盘，座椅的质感一下也战斗了很多。 【配置4.5】 其实对智能化配置没有太多要求，导航好用，听歌方便就行。辅助驾驶对于我个体是少一些更好。如果没记错的话，这个版本没有座椅通风，可能是唯一不够友好的点。有电动遮阳帘可太好了。 【空间4.5】 头部空间太舒服，不说JCW，让我回想一下ET7 ET5 P7 MODEL3 L7 海豹。 还标配电动遮阳帘哟，只有全景玻璃怎么比。后排靠背舒适度也很够，尽管腿部没很长。 【续航4.0】 60+度电池，好好开18、19度吧；上高速下赛道25+我也不会感觉奇怪的。城市代步通勤是无忧的。 【智能化4.0】 没有什么深度了解，有注意到的：一是停车开门会有后来车辆的提醒；二是车道偏离，方向盘纠正的力度比较大。HUD的体验可以。 【驾驶感受5.0】 跟其它版本比较，低速过减速带时，感觉悬挂差不太多，不硬小小软。山路穿梭支撑够，信心足，不会有燃油SUV的感觉，电SUV天生的一些优势吧。YYP提到设定是和普通版不太一样。原谅我对比时间不够，屁股麻木，没感觉到太大差别。 跟其它电车比，车身短灵活一些，不过体感比P7稍逊一筹，比MG MULAN差一丝丝；和同浩瀚平台的001比起来是好太多了，001沉重的大铁板一块。紧致感可能不如海豹，尤其低速过减速带，跟电轿比能知道是台SUV。 跟JCW比，让我换个表达方式，如果维持JCW的尺寸和底盘高度，加上差不多的双电机，电池势必会小一点（也会轻一点），支撑做足一点，热管理热衰减做好一点，这样应该会是玩乐属性极完美的一台车吧。,2022-12-06,,
行者永新,昨天去试驾了高配版的车，这个评价是基于去试驾本人的亲身的感受，评价肯定会有自己的主观感受，比方说外观和服务等，千人千面，但是尽量保持客观😁 先说外观和内饰。不得不说，这个车的颜值很高，用车友的话，前脸看上去奶凶奶凶的，实车比网上的图片要酷一些。昨天看了三个版本的配色，高配版展车是白色的配色，外观中规中矩，内饰白加黑的风格，如图，非常简约时尚，是我的菜。(钥匙比网图更加有质感，但是标配只有一把，销售的解析是可以同步四台手机，足够用了) 遗憾的是我最期待的哑光灰和天蓝色没有现车可以看，如图只能看色卡。 再说说驾驶的体验，后面我会单独出一篇分享，这里简单说一下运动模式下的驾驶体验，运动模式下方向盘沉，从60迈提速到80迈，再从80迈提速到100迈，然后再从100迈提速到12迈，动力十足，完全没有所谓的无力感，加上这个车的底盘也很扎实，这个加速体验感相当完美！ 还有就是自定义泊车，现在很多车都有自动泊车功能，这里说的是自定义泊车，可以让车辆停在你自己设置的区域，这点相信很多新手司机特别是女司机会很喜爱(女拳师轻喷！) 全车没有贴膜，昨天是下午两点半试驾了，南宁的天气相当热，空调的制冷应该是没问题的，没感觉到热。 前排的乘坐或者驾驶空间都可以，后排空间略显小一些，但是还能接受，毕竟是紧凑型SUV，不可能十全十美。,2022-08-29,,
言車社,"其有着一张极具辨识度的大嘴式格栅，以及如“墨镜”般的贯穿式灯带，搭配封闭式前脸和圆润的车身构造，在同质化产品扎堆的当下，独放异彩。


侧身最具辨识度的应当是“头盔式”车顶设计，在保留圆润车身整体感的同时，也带有不错的可辨识度。此外，隐藏式门把手、无边款车门和带有外罩的轮毂，也是新车的加分点。

尾部与前脸新呼应，同款的墨镜贯穿式尾灯，内置“X”字型LED灯带，算是新车的一大标志性元素。

内饰方面，smart精灵#1很有未来科技的风采，静态视角下仅可看到12.8英寸悬浮式触控屏幕和9.2英寸液晶仪表。

当然，作为新能源车型，氛围灯的控制肯定是必修课程之一。

smart精灵#1取消了以往的大面积氛围灯装置理念，转而将重点放到了空调出风口、两侧门把等处，配合具有机械质感的银色配色，宛如坐进了未来战车。

配置方面，smart精灵#1利用吉利地头蛇的优势，将国产车型在配置与智能方面的绝学，悉数融合，可提供语音交互助手、手机APP远程控制以及更丰富的数字化生态服务功能。

空间方面，则是一个不大不小的劣势点。小型SUV的定位，天生就将其划分到“瘦小”的行列。常规的双排5座常规布局，可支持4/6比例分割后排座椅放倒，但做个日常买菜车还是没有压力的。

动力方面，smart精灵#1将采用后置永磁同步电机驱动，最大功率为200千瓦、峰值扭矩为343牛·米，0-100公里/小时的加速时间为6.7秒。

在外观、配置以及动力与续航上，也可以很好地与国内新能源市场相接轨，算是一台转型较为成功的纯电产品。",2022-09-08,,
深圳湾王先森,"Smart#1精灵一号，为什么现在很多网友叫它大聪明呢？因为它的尺寸确实是比之前大太多了。因为上一代Smart for two的一个车身长度是2米69，同时Smart for four是3米49，而现在新款的Smart #1，直接来到了4米27，也就是说它现在的一个尺寸体量跟mini的CountryMan看起来是差不多大的了，所以说叫它大聪明也是情有可原了。

外观方面，我觉得它跟它的概念车是非常接近的，就是一个贯穿式的一个大灯，然后下面还有带呼吸灯的一个进气格栅，再加上它像两个眼睛的大灯，看起来非常二次元。

来到车的侧面，首先可以看到它是一个花瓣的轮毂，应该没有女生会觉得不好看的吧？
同时它用了一个双色的一个车身，让它的整个车身视觉重心更低。另外，它C柱那里还有一个巨大的Smart的LOGO，这个LOGO在晚上还会发光，这种细节我觉得把小姐姐的心思拿捏得非常到位。

而它的车尾部分，贯穿式尾灯呼应头灯设计，如果离远了一看，甚至还有一些奔驰EQS的尾灯的感觉。

进入车内，给我的第一感觉就是有点少女心爆棚，就是整个内饰的氛围非常非常像动画片里面的车。同时，如果你平常爱看汽车行业资讯，应该知道吉利和奔驰还有Smart的关系，所以自然而然的Smart的内饰设计，或具体到它9.2寸的液晶仪表盘和12.8寸的中控屏，其实和极氪001非常相似，包括下面有一些app的快捷方式布局真的是大差不差。

但它的车机界面UI设计相对极氪显得非常卡哇伊，比如它可切换多种像马卡龙配色的UI主题，右下角还有一只可以逗它玩的小狐狸。车机系统也用的是8155的芯片，速度、逻辑、跟手程度完全没问题

然后在车辆设置里面还可以设置氛围灯颜色，包括它空调出风口、仪表台等地方都可以发光，特别是它的BEATS音响都是会发光的，跟那个迈巴赫上面会旋转的高音头都差不多了

另外，相对于现在大部分用全景天幕的电动车，Smart#1的全景天幕是自带物理遮阳帘的，这对于南方的朋友，特别是深圳的朋友来说，十分人性化，因为可以避免夏天在车内打伞防晒的尴尬情景。

在空间表现方面，可以看到就是我1米76的身高在前排座椅固定时，坐到后排后，头部和腿部的空间都完全没问题，而且前排司机已经调得比较靠后了。在后备箱储物空间表现方面，一个到两个手臂的一个纵深，我觉得放两个20寸的箱子应该是完全没问题的。另外它没有备胎，下面还多了一个额外的储物空间可以放下你的充电桩。

最后我们来聊聊它的动态驾驶。首先，它开起来后的第一感觉就是视野十分开阔，坐姿也可以调得很高，很方便停车。第二个就是它的底盘非常舒适，也有一些运动的韧劲，转向也比较轻盈，完完全全适合任何人去驾驶它。

我们试的是单电机的一个顶配版本，它的电机功率是200千瓦，官方百公里加速是6.7秒，对于以往的所有Smart车型来说，已经是一个非常快的成绩，也比原厂的新款GTi要快了。在续航方面，它搭载了66千瓦时的一个电池，CLTC的官方续航是535公里，如果按实际使用情况打个八折，也有400多公里的剩余，其实日常通勤，或珠三角游都是足够的了。

其实Smart#1刚刚开始预售就已经爆单了，实际上它的一个竞争对手并不是市面上其它的一些同价位电动车，它面对的是之前BBA的一些入门车型的车主，比如以前很多女生买宝马1系或奔驰A级，她们可能并不是说我要去买一个奔驰的LOGO的，她们可能就是需要有一台小车，然后稍微精致一点点，那我觉得现在Smart精灵，它就是切准这个方向。",2022-11-22,,
