邮编_文本,字段1,时间,字段2
XJHHHHH,【买车经历】 刚开始选车想买个suv，但是新能源这么盛行又有点纠结，加上预算有限，朋友推荐说皓影出插混了。看车试驾以后觉得性价比还可以所以就提车了。 【外观】 设计比较年轻，比较规矩，没有花里胡哨的感觉，属于比较顺眼的。 【内饰配置】 内饰属于中规中矩，反正和国产车比起来差远了，配置也一样，属于注重实用为主，够用就行的那一类。 【空间】 空间比较大 驾驶空间跟乘坐空间都能很好伸展腿部。 【驾驶感受】起步轻快，加速比油车更快，而且用电的时候车里也比较安静。目前油耗显示1.2L百公里，但这个数据没啥意义，因为基本都是纯电跑的,2023-12-09,深圳
篮板猪小弟,目前已经行驶2600公里了车辆颜值不错，空间大。纯电90-95之间空调24度三档风，亏电油耗城市4.5-5 高速100-1205.5-5.8之间，还是相当不错得。,,宁波
拱白菜的幸福猪,能耗：目前跑了1300km，第一箱油还没用完，基本都是充电多😬😬😬高速设置节能模式（混动）5.4L/100KM 缺点：1、时速过80噪音比较大。2、空调太冷。3、车机一般（卡倒不卡，就是功能少）。 总结：整体开起来还是不错,2023-08-28,广州
谎言言言言,【油耗】 油耗一直都是所有人告诉我的，你不能冲着油耗去买混动，混动不省油，等等…实际上，我买了插混之后，目前4000公里，第四箱油，一箱油220块，7块5的油价。你说他不省油，可是我花了多少钱加油，我能不知道么？充满一次电算50公里吧。再结合下混动模式，算60公里。1块2的电费，一天1.2×17.7=21块钱的充电费，少抽一包烟的事，当做帮助戒烟了。。 【驾驶感受】 动力方面，可以说路上飙车不怕输，超车的时候想要就有。 【续航】 纯电续航作为郑州的来说，冬天没法搞，充满，纯电能跑30就不错了。期待明年夏天吧。 【空间表现】 空间其实真的可以，5座车，你先座6个人，也不算很挤，不怕警察叔叔查，就开出去旅游吧。,2023-12-07,郑州
木偶。,23年10月份提车当时国庆 看车展正好看到插混皓影 被外观吸引优惠3万落地。 优点:省油，家里有充电桩的话基本用不到油。空间大，储物空间也很多，后备箱很能装。车机智能元素很多。密闭性很好。 缺点：天冷电池掉电很快。,2024-01-25,南阳
久醉绕心弦78280880,总体驾驶感不错，够宽敞，2吨的suv也不指着能续航多长，还算可以，唯一缺点就是机器噪音太大，亏电行驶下机器声太大了，感觉比纯油车还大,,北京
观曌809,"【购车经历】
坐标福建漳州！于2023年2月18日喜提皓影插电混动尊贵版，在此之前对比了CRV插混，探岳gte，后面还是被皓影的外观给征服了，再加上我爱人就喜欢皓影的外观，最终还是选了皓影插电混动尊贵版；从选车，看车，试驾，砍价到最后落地，用了将近一个月的时间，虽然花了不少精力和时间，但最终的结果并没有辜负我的付出啊！

【提车价格】
尊贵版指导价28.48w，经过几轮的谈判和砍价，最终以裸车价20w成交，加上保险8036元(买了最高保额和加了366元增加车上人员意外和非医保用药险)，总共208036元落地。4s店赠送了全车贴膜，360全包围脚垫，行车记录仪，底盘装甲，行李架，3年6次保养，四件套，钥匙包等。这个价格我对比了下懂车帝，应该是目前的全网最低价了
【空间表现】
皓影插电混动整体感觉大气好看，舒适型和动力也还不错，特别是内部空间，挺满意的。就是隔音还是差了点，特别是在80码开始胎噪就比较明显了，不过低速行驶时倒是很安静，以至于我总有种是不是熄火了的感觉，毕竟之前一部车是国产猎豹的，那个噪音是挺大的
【驾驶感受】
由于刚拿到车具体的体验还不是很清楚，以后有机会再说吧
【油耗】
今天下午刚拿到车就去加了一箱油(第一次加油就给它加个好点的95)也才200块，24升。加上满电的电池，表显续航旅程为685公里。这个油耗就很经济很友好了。另外音响感觉还是一般，没有特别惊艳。

【最满意】
颜值！颜值！还是颜值！好看的很，每次看到这车都会由衷喜悦和开心！

目前就先写到这吧，回头有啥感受和体验在另外写一篇！

祝提车大吉，出入平安！",2023-02-19,漳州
露娜啵啵,"目前满油满电是95+425=520km，工作性质常跑高速，目前提车50天，已经跑了4600多公里，马上就要首保了，围观其他经验车主说稳踩油门，不急刹，里程会慢慢上去，不知道我这种高速居多的能行不。还在慢慢研究各项功能，作为女司机第一辆车，需要学习的很多，目前感受用电简直绝绝子，有稳定的接地插座就能充，基本都在蹭单位的电，除了高速，城市道路用车成本除了磨损基本为0，这点很棒，点赞。使用说明也太厚了，慢慢研究再跟车友们多交流，发掘更多功能为我服务。

【油耗】
目前表显油耗百公里5.3L
【续航】
续航稍微有点点焦虑
【最满意】
空间真的蛮大的，座椅也很舒适
【最不满意】
混动模式发动机噪音让我有点不敢踩油门，实在不是特别能欣赏这音浪",2022-12-02,成都
期待灬广东舰丶,"智能化实在很差，主要是车机功能太恶心了。我现在只能用来放歌接打电话，导航都是用手机的。华为是歧视本田吗？为什么hicar就是不支持皓影？特意换了Mate40pro，结果发现没法用hicar。纠结！

另外，车友比较关注的续航问题。
纯电的话，开空调是60公里左右，不开空调75公里左右，另外和你是否深踩油门和急刹有关。
纯油的话，我算了一下，城市5个油左右，高速6.2左右，因为高速我油门基本踩得比较深，所以油耗就上去了。
另外就是充电口的问题，这个车是慢充口，快充枪是大了一圈的，怼不进去充电口的，如果没有装它送的充电桩，附近也只有快充枪的话，只能买个转换头来降压。但是别经常用，感觉对车还是会有伤害。
最后一点就是保养问题，4S店送的保养，首保前不用充电，不用充电，不用充电，重要的事情说三次。纯油跑让发动机充分磨合，跑了3000公里或者满三个月了去做首保的时候换掉了机油再充电跑，充电也别一直用电，不让发动机工作，对于发动机老是不让它工作，也会坏的。基本就这些了。各位车友欢迎讨论。（2022年4月27日更新）",2022-04-19,深圳
爱登山的pm250,"提车啦，城市道路，无敌，驾驶感受特别好，能够轻松应对各种路况，和一般的电动车差不多的驾驶感。底盘调教偏舒适，但是方向指向性很好。

颜值在线，停在迈巴赫旁边，也不逊色呀！最开始选这个车没有选crv，也是因为颜值。

加满油，电快没了，看续航还有620km，这是可以跑700km的节奏呀！

sport模式下动力输出完全没问题，在深圳北环快速道也能轻松应对

隔音方面完全能接受，没开过豪车，我觉得已经很安静了

中控小小的屏幕，智能化做的还行，可以同步我的高德账号，在液晶仪表还有显示。后面不够用，我准备换一个大一点的中控屏。

音效也可以接受，我听不出来好坏

家用第一辆车，可油可电，空间大，座椅舒适，楼下停车场有充电桩，深圳市内随便跑！",2022-03-26,深圳
30秒懂车,外观方面，插电式混动版本的皓影锐·混动e+车型，与普通版本基本保持一致，仅仅是细节方面进行部分调整，例如车头中网的镀铬饰条有所优化、前包围的线条与下进气格栅也有相应变化、以及调整过的两侧LED雾灯，都让新车看起来更具科技感。 由于是插电式混动车型，因此车身右侧多了一个充电口。至于轮毂方面，新车全系均采用了235/60/R18的设定，并且使用了更具时尚气息的灰黑色双拼十幅样式。至于尾部，同样没有太多改变，除了尾标的身份彰显，更多就是排气造型的细微差异了。 内饰方面，皓影锐·混动e+车型有着浓郁的家族式气息，科技感和氛围营造，相比家族上一代设计语言，有了明显提升，用料与做工细节依旧非常出色。另外，其采用的按键式换挡，也更能体现出高级感。 行驶方面，动力总成当属新车的最大优势，皓影锐·混动e+车型，采用了2.0L阿特金森循环的四缸发动机，搭配自家的i-MMD双电机，匹配E-CVT变速箱，整体组成了该套混动系统，综合最大功率158kW。其中，电动机的功率是135kW、扭矩315N·m，汽油机的功率是107kW、扭矩175N·m。,2021-11-29,
赵璞工作室,外观还是本田的那一套，细节上有一些改动，比如前脸上的一些镀铬饰条。不得不说，本田的这个前大灯组看起来还挺好看的。 内饰也是，跟燃油版的几乎没啥区别。中控屏的尺寸放在现在，多少有点小。每次开本田的车，总会忍不住想问一下：你们什么时候把CarPlay给加上啊，车机看起来很复古，我自己用手机连都不行吗？给个机会吧。 动力表现，本田的第三代iMMD还是有很多看头的，就算加上了大电池，整体开着依旧很平顺舒适。低速的时候就是一台纯电动车，安静，迅速。深踩油门发动机介入动力的时候，很丝滑，没有一点突兀感。 纯电续航85公里，平时上下班还是够的，充电速度也还行，三个半小时能充满，家里有桩的话，日常当个纯电动车也还行。,,
驾享来电,"外观方面，皓影PHEV在前脸的分段式中网上半部分增加了三根横幅式镀铬饰条，同时雾灯处也加入了镀铬装饰，并变成扁平的长方形设计。从实际视觉效果上看是让整个车头变得更加精致了。车身侧面，整体车身比例显得很敦实，看上去会有一种安全感；侧裙处也呼应车头，采用了镀铬饰条的点缀。作为插电混动车型，在右后轮拱处增加了充电口。车尾部分，最明显的就是有了“e:PHEV”标识，并且下包围处也换装了镀铬饰条设计，显得更有质感。 

内饰方面，座椅的用料和触感不错，内部的填充物的支撑性也够足；座椅椅面的竖纹纹路不仅看上去比较美观，同时也能起到增加摩擦力的作用。按键式换挡布局让车内功能分区变得更加紧凑。7英寸的中控屏不论是造型还是大小，的确差了点意思，内置的Honda CONNECT 2.0系统从操作逻辑和功能上还是符合大厂应有的水准，左右划动屏幕的流畅度与响应都算迅速，分辨率也是可以接受的水平。 

空间方面，一米八的个头坐在前排，头顶到车顶的距离也还有一拳多。在后排更加舒适，因为中间地板基本持平，所以后排坐满三个人的话，坐中间的人也不会觉得拘束。后备箱由于有动力电池足存在，所以后备箱靠近后排座椅的位置稍微有点凸起，会稍微影响到一点平整体，但整体使用体验来看，影响并不算大。 

动力方面，这套插电混动系统最大优势就是提供了更大电池容量的三元锂电池组，简单总结的话那就是只要电池电量充足情况下，匀速行驶的情况下只用纯电也是没大问题的，这样的特性很适合日常通勤使用。总体上这套动力输出特性，是偏电机为主导的。所以当日常正常驾驶的时候，发动机的动静很小，更何况还自带主动降噪可以提供一个很静谧的车内环境。 

操控方面，整体调校相对偏舒适，在行驶过路面接缝、起伏坑洼的路面上，悬挂能够保证绝大多数时的舒适性体验。",,
菲常视界出品,"【驾驶感受】实际驾驶中，皓影锐·混动e+的动力系统可覆盖从低速到高速的所有速域，并根据行驶状况在“纯电模式”、“混动模式”和“发动机直驱模式”3种模式。
在电池电量充足的情况下，皓影锐·混动e+会一直坚持电驱动，发动机想介入工作？想都别想！就这样，皓影锐·混动e+的行驶感受与纯电动汽车几乎一样，动力输出直接顺畅细腻。
当电池电量不足时，皓影锐·混动e+就会进入i-MMD的混动模式，低速时还是以电动为主，发动机随时待命为电池充电，发动机的介入悄无声色，非常平顺。
当行驶到高速路段时，皓影锐·混动e+则改由“发动机直驱模式”，即便是超车也能感受到平滑顺畅的线性加速感。实际用车环境而言，以电为主的皓影锐·混动e+真正实现了“无限接近EV的PHEV”。
另外，就静谧性而言，无论是发动机噪音，还是烦人的路噪，皓影锐·混动e+优于皓影锐·混动，而皓影锐·混动又要优于皓影燃油版。
皓影锐·混动e+在馈电模式下，完全就是一套i-MMD系统工作。本田的混动系统技术如何，我想不必多说了。这是一套号称全球最强的油电混合动力技术，一款连混动鼻祖的丰田都佩服的混动系统。以电驱动为主的i-MMD混动系统，能够提供丝柔顺滑的驾驶体验，从而实现“无限接近EV的PHEV”。


【最不满意】由于混动系统的装配，对车内空间有一定的影响，最明显的是后备箱地台高度增加不少，但车内驾乘人员空间一点都没有被影响，这就是本田的“MM理念”。
另外，皓影锐·混动e+搭载专属仪表盘、Honda CONNECT 2.0智导互联系统（可惜不是新款雅阁和型格身上的Honda CONNECT 3.0系统），以及Honda SENSING安全超感系统等多项科技配置。",2021-11-25,
霹雳一一,车研究了许久，最初笃定的要提锐混动，四月份疫情的时候耽误了提车，闲来无事发现顶配插电版的价格落地要低于顶配的锐混动，综合比较了一下，插混满足了想要电动车和长续航没有里程焦虑的痛苦，在很短的时间就决定了提插电的皓影；在2000公里的实际使用的感觉，车身要偏厚重，纯电的提速接近无限输出，但是亏电和补电的状态下，起步感觉偏软噪音明显，纯电续航标的83但是也就是60多点，可能和踩油门狠的原因导致略微低了，自己有车库，实际使用的情况还是比较省钱便捷，官方对电池的质保应该只是心里安慰，但是买插混电车的结果大不了就是轻混使用了，对于智能化车机系统，版本确实低了，3.0可能会好点吧，但车机的实际使用主要是地图，丢分也丢在地图上，高德车机太差了，所谓的每个测评视频下的评论都存在的26升油箱的梗，我觉得没有必要，满油满电大概600到700多公里，足可以秒杀纯油车续航，况且6-7十公里市区内通勤纯电也够了，如果给55升的箱子，平时没事还得背着30升的汽油增加电耗吗？还有两点顾虑是，主驾驶座椅用力后依有卡的一声，找不到毛病，还有就是底盘实在过低，过沟过坎得顾虑电池；遗憾的是没有侧后提醒和HUD不是投在前挡上。,2022-06-02,保山
淡泊名利真,"【购车经历】当时去看了秦跟皓影PHEV，考虑到工作原因，长途驾驶赶时间比较多，充电比较麻烦，还耽误时间，索性干脆入手了皓影插混，不用担心续航问题。最后优惠3.5W送了6次保养，还送了脚垫，外加玻璃膜，最后玻璃膜没要，又多送了一次保养，最后落地将近20W，免购置税入手。

【最满意】最满意的就是后期使用成本，基本天天顺手就充电，用不到油，短途纯电行使就够了，92号汽油就够。


【最不满意】轮毂造型有点不好看，后期要换掉。整体都比较满意。

【驾驶感受】油门响应非常及时，而且踩油门比较平顺，方向盘比较顺手，而且转弯时候底盘比较厚实，车身很稳定。


【乘坐体验】说下驾驶体验，大腿位置座椅支撑很足，长途驾驶腿部伸展空间很大，不会腿部酸痛，腰部支撑很饱满，整体驾驶体验很棒。

【续航】纯电续航大约70KM左右，满油满电没实测过，1000KM应该不在话下。

【保养】首保还没保养，加上送了很多保养，后期再跟大家分享保养成本。",2024-03-12,
DucnT,家里是本田粉，之前家里一直有台插混皓影，后来提车型格，充电桩就在车库里，所以充电也比较方便，满电状态夏天可以行使70-80km左右，冬天在60-70KM左右，综合表现比较满意，加满一箱油基本2-3个月用不完，完全可以当电车使用，空间对于家用来说完全够用。 驾驶起来操控也比较满意，冬天雪地脱困能力还比较强。 最满意的就是后期性价比，92号汽油完全够用，如果像我一样，每天可以充电的话基本用不到油，使用成本很低。 最不满意的中控比较一般，但是现在新改款的车机功能貌似挺多的。,2024-03-12,
东北风雨者,纯电续航模式，真的舒服。发电时候动力有所衰减。选择皓影首先是外观大气好看，并且颜色很特别，空间也宽敞，后排还可以全平放倒，对比店里皓影低配油车，最终还是购入价格合理23W插电混动皓影星空蓝汽车。22年1月21日喜提广汽本田皓影插电混动汽车，分享一下用车感受。 买车的原因是因为孩子长大了，家里第一辆铃木雨燕太小了，已经超过父亲身高体重的孩子来说，坐在后排十分拥挤。 目前使用很舒服，刚开始使用有很多不满意地方，因为电池和温度关系很大，1月21日购车，正好是冬季，我们这又是北方温度很低，最开始充电也很困难，没有车库，只能在户外充电桩充电，从纯电续航50多到60多，逐渐增加，现在温度高了，能跑90多了，现在最高纪录纯电里程100公里。 从开始第一天开新能源车到现在已经近二年了，满意感逐渐增加。因为俄乌冲突导致油价很高，对于重量增大的新皓影，空间又很大，花不到10元钱电费能跑100公里，还是米其林轮胎，胎噪小，过火车道，坑洼不平路面乘坐很舒服。纯电动力快，起步迅速。混动接入明显动力下降，纯油基本用的少。 后排座椅可以完全放平，放平后后备箱空间增加一半，相当于一个面包车的储存空间，偶尔拉一些大件物品时非常方便。 这车一些小缺点就是车机比较落后，没有配备Honda CONNECT 3.0车机系统，现在广本新车基本都有了。油箱比较小，插电混动的作用能适应短途长途，不过跟更适合城市驾驶。,2023-12-10,铁岭
McGee297,【购车经历】 朋友帮忙在4S店提车，裸车优惠9.8w，加上保险上牌，最终落地18.28。坐标广东佛山。 【驾驶感受】 毫无疑问，这是开过的本田车中行驶质感最好，得益于接近2吨的车重，开起来有种美系车的底盘稳重质感，过颠簸路段、减速带滤震不错。 提速方面，2.0L发动机➕在电机加持下，只要肯踩油门，动力支持还是满满的，9秒内轻松破百，不过到了100往后动力输出感觉还是不如涡轮增压。 【油耗】 提车行驶了1800Km左右，纯高速亏电跑100-120时速油耗在6.0-6.5L。城市路段纯电能跑个75-95KM左右，亏电油混油耗在4.7-5.8L。2吨的车重，能跑出这样的续航，已经非常满意！本田买车送发动机确实不是浪得虚名。 【亮点配置】 买车时对比了下CRV和皓影的油混，低配也要去到接近19，然而看了下中控屏幕，5英寸，还没我手机屏幕大。织布座椅。无L2智能驾驶。 果断掉头，直接入手皓影插混，不为别的，9.8的优惠力度，纯纯的就为了性价比。 【续航】 目前满油满电大概500-560KM，纯油亏电能个450-500左右，主要是26L的油箱，也是很多人诟病的地方，但我不敢苟同。 因为其实大部分的油车40-50L油箱也就500-600左右，加上油站遍地都是，加油其实也是非常方便。为啥还要为了高续航，非要拖着大油箱跑增加车重油耗呢？ 【最不满意】 接近30W的指导价，7英寸的中控屏幕还是不堪入目，不过考虑日常使用只是蓝牙播放音乐，导航也习惯用手机，这点忽略不计囖 【整体感受】 一个字：非常棒！18个出头的皓影插混，还要啥比亚迪宋？别的不说，至少造车经验和品控，本田还是有话语权的。,2023-04-16,佛山
正顺电力机具,续航是最不可原谅的，配置也很差。外观和空间还行，中配连一个并线辅助都不舍得配,,广安
用户8133088581730,"新车提了两个多星期，也是机缘巧合选的这个车，看车提车2小时｡◕‿◕｡
  总体感触，座椅很舒服啊，比上一辆美系车不知道好到哪了。操控中规中矩吧，毕竟家用车系列。由于附近没有慢充的充电桩，厂家的充电桩还没申请下来。一直加油，油耗现在7.1估计跟磨合期也有关系，电最多就两格。车机系统……一言难尽跟朋友的国产车的车几一比………弱到爆。车的滤震不错，过个小沟沟什么的，基本没什么感觉…
  整体来说没后悔吧，有一点邮箱太小了………加一次不到200简直…………",2022-01-06,十堰
用户4103879262663,车机有点卡！油耗感觉还行！车内异味有点大，动力响应还行。感觉功能没有国产车的多，,,南京
东北风雨者,广汽本田皓影pHEV，纯电模式驾驶，挺快迅速。车内空间宽敞，后排座椅可以纯平放倒。相比国产，没有备胎，不能外放电，油箱太小，车机还是2.0的。轮胎不错米其林的，没有行李架，不适合远途自驾游，适合城市使用。,2022-07-23,铁岭
27号驾驶员,开了接近一年，一万四千公里了，油电切换很丝滑，除了综合续航跟新款比少了点，如果满油满电综合续航能跑五六百不成问题，其他还好，目前综合油耗4.7 偶尔想起来充电，电和油跑的比例大概是3:7 正常亏电时候油耗应该平均在六七个左右（城市）目前感觉的缺点是漆水薄，挨过一次小冰雹有几处掉漆，当时带着车衣，但是纳闷的是车衣没事，里面漆没了（毕竟小日子的车大家都明白，但是想必买这车的大家都是图的它经济实惠）还有就是发动机冷启动噪音大点。最喜欢是纯电状态下能正常用空调，夏天堵车或者等人完全不用像油车一样考虑一直启动着发动机导致的积碳问题啥的。辅助驾驶用着还可以，适合跑高速，厂家还送了一个充电桩，有效期一年内安装都可以。,2023-08-01,济南
汽车洋葱圈,广汽本田皓影，是东风本田CR-V的姊妹车型，本田CR-V作为最早进入国内市场的城市SUV之一，积累了很好的口碑，家用、省心、空间一直是它最突出的产品点，皓影作为后发的姊妹车型，继承了CR-V的有点，还在外观上采用了更加年轻运动的设计语言。 【满意】 1.作为全系最顶配的车型，360环影、电尾门、HUD、前后排座椅加热等配置都是顶配专属，指导价比低一配置贵了1.5万元。 2.新车搭载本田第三代i-MMD PHEV技术，NEDC工况纯电续航里程85km。 3.乘坐空间和储物空间在同级别中十分优秀。 【不满意】 1.整体噪音水平不尽如人意，胎噪和发动机介入后噪音较为明显。 2.车机不够智能，没有carplay和carlife。 【油耗】平均油耗在5.2L/100km左右。 【优惠】经销商普遍有2万元左右的优惠。,,
暮暮1129,在领克01和皓影中选的，内饰相比国产车落后，为了绿牌才买的，后备箱台阶也不满意，油箱小但综合续航还好，毕竟加油站比较多,,石家庄
阿忒～～等25.1w人,驾驶感受挺好，座椅舒适度相当不错，但是胎噪明显而且下面有个电池包外漏，不知道安不安全,,郑州
吴佩频道,相比普通的皓影混动，皓影PHEV的纯电续航里程更长，相应的，更大的电池、更多的设备也让车重增加了350千克，这样的车重增加会对实际驾驶有什么影响呢？ 第一是零百加速从9.2秒变成了10.3秒，在输出参数不变的情况下，皓影PHEV的车重增加让零百加速慢了1秒多，但实际的加速体感并不明显，毕竟i-MMD混动系统大多数情况下都是以纯电进行驱动，电机的起步即最高扭矩的输出特性在一定程度上减小了车重增加对加速带来的影响。 另外，虽然车重增加了350千克，但操控表现并没有明显的恶化。由于电池等部件都主要集中在底盘附近，车辆的重心并没有明显的上升，而是有点像是不倒翁的感觉。在驾驶过程中你会感觉到皓影PHEV是更有分量的，但不会明显感觉到车身姿态的笨拙。紧急变线、快速过弯也没有很突兀的重心转移。悬挂系统经过重新调校标定，在面对更为沉重的车体的时候，没有出现避震机拉不住车身，在经过长波起伏路面的时候，车辆有过多垂直浮动的现象。 车重的增加和电池对于乘坐舒适性并没有太大影响，NVH表现依然非常出色，要比丰田荣放的PHEV明显优胜。后排地板由于电池的存在被抬高了一点，坐入后排的时候会感觉坐姿没有普通皓影混动这么舒展，座垫对大腿的承托没有这么好，但影响不算严重。另外受到电池体积的影响，行李箱空间也无法做到完全平整，有明显的凸起，空间也收到一定的挤占，不过本田毕竟是玩空间的高手，通过一些巧妙的调整，包括可提升的行李箱地板、地板下的储物格等尽量减少了电池对空间的影响。 那么皓影的PHEV和荣放的PHEV该怎么选呢？如果你重视动力表现，选荣放PHEV，无论是单电机还是双电机版本，荣放PHEV的动力表现都会更出色。如果你重视静音、空间、油耗，等，选皓影的PHEV车型。,2021-10-16,
蜀锦传媒集群,皓影作为一台家庭用车，我当时选的时候，是准备看CRV的，但是看了CRV总感觉有些老气，不是很符合我的需求。转头看了皓影，个人感觉细节上皓影比CRV好看，恰巧销售给我推荐了PHEV版本的皓影，我也不排斥插混的动力，还可以上绿牌，就入手了。首先这个轮毂很好看我很喜欢，每次下车都会多看几眼。回归正题啊，皓影PHEV开起来起步很顺畅，由于使用了电机起步，非常的安静，高级感不错。油门很线性，2.0L自然吸气发动机市区代步还是不错的，急加速或者高速上嘶吼的有点厉害了。而新能源版本的皓影采用按键式的换挡，我很喜欢这块区域。其他的地方我觉得和燃油版没多大区别。座椅还是非常的柔软，乘坐起来没毛病，皮质座椅质感也不错。后排中间扶手下面，可以多延伸出一个小格子，非常的不错，空间利用率挺高的，家人坐在后排也非常的宽敞。配置也是非常的到位，驾驶辅助，疲劳提醒，自适应巡航，上坡辅助，可变转向比，全景天窗，无钥匙进入。基本上能用到的 用不到的都给你配齐了，非常棒。,,
汽车天涯,本田皓影PHEV，外观方面采用的是带有镀铬条的进气格栅，两侧大灯采用的是狭长的造型与上方贯穿式的镀铬饰条相连接。车标是下沉式的设计，非常的独特个性，搭配下包围，显得车脸愈发的神秘大气。侧面线条比较顺畅，腰线与门把手相连，看起来非常的动感。尾部造型圆润饱满，尾灯采用了L形的造型，下方保险杠贯穿至两侧，采用双边共出的排气布局。 内饰方面中控的设计使得车身科技气息浓郁，搭配浅色的配色，看起来高级感满满。采用了三幅式多功能方向盘的造型设计，悬浮式的中控屏幕，增加了几分科技感。 动力方面，新车搭载2.0L发动机+电动机组成的混动系统，拥有第三代i-MMD PHEV技术。,,
线外邦,"图绿牌，图省油，图大空间，皓影PHEV都是很好的选择。

作为本田CR-V PHEV的姊妹车型，皓影PHEV除了外观跟CR-V PHEV不同，其他部分可以说完全一样，所以它的优点和缺点也都是一致的。

作为一款本田第三代i-MMD油电混动系统改过来的插电式混动系统，它的优势依然在于省油，就算是不充电，也是很省油的，不过，要是充电方便的话，它80多公里的真实纯电续航，也确实能够解决大部分的城市通勤问题。

在更大的电池加入之后，确实一定程度地影响到了空间，最直观的就是后备箱多了一块凸起。不过其他部分的空间并未受到影响，因此，整个皓影PHEV的空间表现依然是十分优秀的，尤其是乘坐空间，后排完全可以轻松跷二郎腿，并且它的座椅填充物也很软，乘坐体验相当舒服。

当然，它的缺点也十分突出。就是作为一辆本田，皓影PHEV的整体的动力和操控表现却很一般。尤其是动力，虽然有了电机的出力，但本身的调校很保守，动力倒是很平顺，但算不上强劲，破百都要10秒开外了。整体的操控调校也偏向于舒适，开起来没有太强的质感。

综合来看，如果你需要绿牌，喜欢日系，皓影PHEV是一个很不错的选择。",2022-01-20,
智电出行,前段时间去试驾了，没感觉与燃油版有太大差别，家里都是油车，油价现在这么贵，觉得很有必要买一辆电车，方便太多。因为是电机，所以提速很快，踩下电门就能跑，哪有啥挫顿感，很爽。这车有三种模式，三种模式我更喜欢ECON，这个就够了，其实三种模式都有很强的推背感，动力也很强劲，还有就是静谧性，哇，真的很棒。车内的储物空间很多，很适合零碎物品多的人，车内的座椅舒适度很不错，尤其是后排的座椅可以更大角度的调节，包裹感很不错，但不能放置纯平，前后排还都有3级座椅加热。安全配置ACC、车道保持辅助、前方碰撞预警，偏离车道后仪表有弹窗警报，很好用。我觉得还是蛮不错的。很多比较智能的配置，在这款车上已经不错了。手机可以看车的电量、状态啥的。还有就是这款车不给快充，只给你慢充。,2022-03-08,
微信伟之栎,充电、续航是比较大的问题。油箱太小，跑长途焦虑。方向盘加热没有，后排座椅加热前排无法控制。,,忻州
电动EV,【最满意】 本田皓影这台车的颜值真的没得挑，它颜值还是非常年轻的非常前卫的，这样一个外观设计，我认为再开个十年八年都不会过时，我觉得这样的一个外型设计也是非常适合我这种20岁出头的年轻人，我觉得它的外形设计的更像哪种比较贵的豪车，如果把本田的车标盖住的话，绝对不会有人认为这是一台20多万元的车，外观这一块我还是非常喜欢的。 【最不满意】 首先胎噪大，虽然刚才说了车辆操控不错，但是皓影开起来的胎噪很大，甚至是恼人，尤其是高速行驶时，希望本田能够重视这个问题。,,
智电出行,新车整体外观与传统动力版本基本一致，皓影前脸标志性的亮黑色中网通过粗壮的镀铬饰条与两侧头灯组相连，时尚大气。车身侧面造型圆润，车尾部分层次感十足，“L”型尾灯组内部采用LED光源，极具辨识度。作为插电混动车型，新车搭载了由一台2.0L自然吸气发动机和两台电动机组成的PHEV动力系统，部分车型还增配了四驱系统。据悉，该车每百公里综合油耗仅1.3L，并且纯电动续航里程可达85km，堪称国内最省油的SUV。市场中，大众途观L、探岳、领克01等车型均推出了PHEV版本，不过皓影插混版则在续航和油耗上都占据优势。新车计划在下半年上市，有望于今年年底或明年年初交付。内饰上，新车或仍采用对称式中控台设计，液晶仪表和嵌入式中控屏的加入提升了科技感，大面软性材料和金属饰板的结合则提升了档次感。配置上，新车将搭载与东风本田CR-V类似的配置，Honda CONNECT 2.0智导互联系统和包括ACC自适应巡航、碰撞制动预警、车道保持辅助等配置在内的Honda SENSING（安全超感）系统。,2021-09-10,
AL频道出品,"皓影PHEV让大家最为犹豫的毫无疑问是价格，确实不便宜。不过对于拍牌困难的一线城市来说，这个问题倒也没什么犹豫的。皓影PHEV开起来和锐混动主要有两个明显的差别，一个是开起来更重了，尤其是下盘的分量，整车的加速性能其实也是稍有变慢的。第二个就是电池扩容后，纯电续航可以来到85km，时速能干到160km/h，那么一定程度上你可以把皓影PHEV当作一台上下班的纯电代步车了。这台车很好的诠释了什么叫源于i-MMD，高于i-MMD。

另外，因为PHEV的身份，后备箱和锐混动相比有点不一样，平整度没有锐混动好，但隔板下方隐藏的空间容量还是非常客观的，只是遗憾的是受限于空间，备胎在皓影PHEV上取消了。此外，因为电池包装在底盘下方，所以远处看皓影PHEV时，能隐约看到露出相关单元，多少有些影响观感。总的来说，不考虑价格，车开起来还是非常容易种草的。",,
