字段1_文本,字段2,时间,字段3,时间1
盐抓的比斯洞,"哪吒U PRO，外观在这个价位里没的说，前后都挺好看，就是前脸有点像凯迪拉克。做工感觉差了点，缝隙有点大，充电口边上的塑料翼子板和边上的颜色有色差。内饰双联屏，皮质电动座椅，但是最大的问题是方向盘不能前后调节，这样感觉坐垫承托不够。
【空间表现】
空间只能说巨大，瘫着坐都可以，地台纯平，当时也看了比亚迪的车，但是海豚太小了。

【续航】
冬季续航有点崩，开了空调估计得对折。现在天气热了，不开空调差不多能开1:0.9。充电反正有快充，晚上家里一插，白天一拔，也蛮方便的。
智能化也还可以，哪吒还是蛮聪明的，说个放歌和导航都蛮清楚。
【驾驶感受】
在市区驾驶感觉蛮好，减震很软，但是如果弯多还急的话就侧倾比较严重，容易晕。提速很给力，红绿灯路口都是第一个冲出去的。",2022-03-16,衢州,
闷小二啊,"【空间表现】
整体看上去还是比较大气上档次的，这个车轴距也还可以的，其次就是他的驾驶空间也还不错，至少1.8的个子在里面没有任何压力，以及不舒适的感觉，但是唯一的一个败笔就是这个车的后备箱空间太小了
【续航】
这个车标的是501km的续航，但是在不同环境下他的续航也需要重新定义，天时也就是一年四季，由于温度的变化，他的续航里程也会变化，冬天续航可能打个半折，也就是250－280的样子，夏天就是8折左右，其次就是地利，也就是上坡，下坡的区别，上坡费电一些，下坡也就是省电一些，最后就是人和，由于电车和油车的不同，每个人的驾驶习惯也不同，轻踩油门，重踩油门，都有很大的区别
【充电时间】
充电时间现在用车有一年了，这个有比较好的就是买的早，有免费充电的权益，可以在宜昌市大大小小的充电站里面去使用，当然了，和收费的桩子都是一模一样的，充满一次，时间可能在30－60分钟左右，慢充暂时没有用过，不做评价

【最不满意】
不满意的就是A柱太厚，后视镜的不合理设计，在转弯处和小个子的使用，可能有点儿不好，其次就是没有备胎，以及钥匙太有个性，导致不好买钥匙套
【购车经历】
买新能源是大渠所势，家里有个电车可以满足日常通勤，油车就比较适合出远门
【提车价格】
指导价格没有少的，加了一个金融服务费，保险4500，上牌费用500，其他没有用钱了
【驾驶感受】
整体感觉不错，但是在高速路上的噪音太大了，然后就是下雨的时候一定要记得慢行加提前踩刹车
【销售态度】
销售态度从一始终都还是很不错的，节假日的问候，季节变化的温馨提示，以及用车时出现的疑问，都很好的去解答
【最满意】
最满意的就是这个车的性价比是真的很高，然后免费赠送的充电权益也很香",2022-09-15,宜昌,
溧阳宸翕设计,11月看车，12月提车，为了宁德电池，等了一个多月。车牌是自己编辑的，我的生日0203/孩子4/17.车牌23417.很满意。车子开了3天，冬天电池还算可以续航68折左右，冲完电的前面10公里不掉续航。后面开始7公里掉10公里的样子。和预期的基本一致。车子空间大的没的说，比轩逸还要大一圈，后备箱小了一点，1200*600的瓷砖放不下去。1200*200的也放不下去。现在江苏溧阳温度5度左右，这个续航在意料之外清理之中。没有完全跑完，但是应该能跑240左右，运动模式红灯起步基本可以秒杀30万以内的燃油车了。大灯非常亮眼。白天和晚上一样非常有辨识度。和海豚放在一起，气场秒杀海豚.目前车子已经形式1850公里，每度电能跑4.29公里。续航稳定在5.4折左右。现在给个最扎心的建议，千万别要宁德电池。售后的维修单，第一页15辆车，有12辆是宁德电池的车子。,2021-12-29,常州,
Immortal30,我提车是21年停售款，主要是嘉兴桐乡有生产基地，所以有现车，所以放弃了下了定金的比亚迪元plus，因为有同事也定了这款车，等了差不多4个月才到手，而且越到后面订单量越大，担心很晚才能提到车，所以放弃了。中间其实也看过长安，哈弗，魏牌的车，也考虑过混动，最终还是因为哪吒性价比太高了，而且有现车，这个真的是打动我了。虽然白色不是我喜欢的颜色，我喜欢的灰色和蓝色都没有现车。外观的话总体来说还是可以的，前后灯光对我来说还是挺好看的。驾驶舱的话，油门踏板对我来说有点轻，长时间的话会比较累。刹车比较灵敏，对我来说可以。自适应巡航对我来说开高速还是比较舒服的，这个路噪还是有一些的，开音乐的话可以忽略。车门确实不是很好关，要稍微重点才能关上，车内空间确实挺不错的，坐5个人完全没问题，之前搬家车内巨多东西都能放得下确实不错，后备箱也是电动的，空间确实稍微小了一些，只能放得下两个行李箱。总体配置还是可以的，能满足日常使用，重要的是两年送2000度充电免费权益，这个很关键，成本一下子可以忽略不计了。反正第一辆车先体验一下电车，性价比嘛，还要什么自行车呢,2022-09-19,嘉兴,
你笑起来很好看258,买的二手车u500登月版该有的功能想到和想不到基本都有。保险比较贵付了5300多，从油车到电车其实用车成本其实会更高，没有把成本花在路上但是到达目的地的成本会多的多，原先只是不想浪费汽油不是很有必要去的地方现在直接都去了，半月跑了接近2000公里🤣 前几天等红绿灯的时候突然出现黄色扳手跳出绝缘故障，车辆也无法启动吓了我一跳，然后关电下车重新启动又莫名的好了，去店里检测不出什么原因售后小哥说可能是系统故障做了个系统升级，做了个大宝剑又花700RMB，感觉不出什么变化，只是行驶时仪表上多了个eco，记得原先是没有的 还有特别吐槽一下：无钥匙进入只有主驾有，其他门想开门拿点东西只能掏钥匙，而且这钥匙又大又笨重，而且主驾无钥匙感应功率是不是太低了，钥匙放在离车远一侧的口袋都会感应不到，时常装x失败🤔 续航没有跑完过到30%就会显示低电量，还剩100多续航,2023-08-30,台州,
卡吞猫,"二排空间可以，地台全平，一排空间还好，本人身高180，要弯一点腰进门。主驾座位有点矮，将就坐。平时用送的充电，充电功率大概60，到80%后功率变成25左右。温度越低，充得越慢，等电池温度上来后，速度会变快。

辅助功能够用，平时少用，车机死机过2两次，自动重启过1次，可能晒得太热容易死机。


宁德三元里电池，66度。市区通行电耗13-14，高速100-120时速电耗16左右。
春节载4大人1小孩，+50斤米和年货，高速跑240多公里，续航掉了350，温度从3℃到16℃。感觉还好，全程运动模式+一级回收。

改了黑顶黑耳。运动气息拉满。
电鸡功率120吧，还是经济性。平时代步用，没暴力驾驶，每天通勤50公里，油车一年油费快1w，电车到现在自费充电了500左右，经理性。",2023-01-31,佛山,
和尚爱针灸,"对于限牌城市，这个价位能说很有吸引力。当初就冲着绿牌实惠去的
【空间表现】
内部空间足够家庭使用，这个价位除了小面包埃安y也就只剩它了
【亮点配置】
有个手机钥匙，像我总会忘记锁车，可以远程锁车，偶尔忘带钥匙可以用手机启动，但是这功能只能当做备用，因为无信号连接太难了
【续航】
在广东地区来说400城市通行差不多，邻市也行，不过想跑太远是不实际的
【驾驶感受】
方向盘总有点打齿的感觉，急加速时明显感觉车身抖动，不稳当，有种再踩下去会散架的感觉，
【充电时间】
提车月余，也没去和其他车对比过，像我比较佛系，充电时玩会手机也没想充满，就感觉差不多就撤。要说的话大概1小时330公里续航
【最不满意】
1、做工感人，缝隙大，每台车都有好有坏，我运气不算很好的那种
2、车机智能化程度不高，像卸载软件，下载软件都办不到，听歌的话有企鹅音乐歌单，但音质不能选择默认垃圾音质，所以只能用u盘或者手机蓝牙。主题界面也只有寥寥几个，希望后期还能进行ota吧

总结：经济型车，适合过渡限牌城市(有钱人买来当玩具也行ps:我只能买来当宝贝)",2022-04-03,深圳,
国际庄哪吒闹海,外观咱不用说了吧，绝对的抗打。我就是看上它的颜值和空间了。 内饰方面，十万级别的电动车这内饰真的是可以了，非常简约不简单。反正我喜欢。 配置方面，不是家里的主要用车，主要就是市区通勤用，所以只选择了标配，能开就行。 空间方面，就一个字，大。虽然哪吒Upro定位为紧凑型SUV，但是空间绝对不紧凑。这一点超乎我预料。满意！满意！ 续航方面，提车的时候是满电的，第五天我们冲了第一次电，最后具体开了多少公里我还真不知道，因为老公一直开着。我也没瞅见。但是，我感觉目前还可以，毕竟现在的天气不冷不热，电池还是比较稳定的。 对于智能化，我觉得已经可以满足日常使用了，再多功能对我来说也没啥用，听听歌，看看导航，娃看看视频。够用了。 驾驶感受，我还是比较满意的。除了踩刹车有点顿挫感，其他都感觉良好。,2022-04-20,石家庄,
行月思回,【充电时间】 刚提车的几天用的都是快充，基本上一个小时左右可以充满，因为我都是在百分之30左右才充。 【续航】 目前综合续航满电我在市区开一般是350-400（因为没有开到0过所以余下的电量加上就差不多） 【空间表现】 空间总体比较满意副驾驶和后排人员坐进去同时都可以跷二郎腿😂，所以空间方面还是不错的，后备箱不大也不小，只能说刚好够用吧。 【驾驶感受】 目前只开了1000公里很多东西还没感受到，单踏板模式很省电但是坐车的人容易晕车，运动模式推背感很强但是耗电也快，舒适模式用得最多，转向时轻时重，车机在有些模块不能准确识别，而且有时候唤醒有延迟，有时候没跟它说话它又自己应答。 【亮点配置】 我最喜欢他的三屏和旋钮换挡，8音响听歌很舒服，配备自动泊车试过一次还不错。,2022-04-01,桂林,
后个给你福多,"首先，综合简单来说就是满足基本代步需求，外观初看惊艳喜欢，但是不耐看，设计不够人性化，软件非常少。看着科技感很强但是实际上谁用谁知道，提车一个月左右因售后跑4s店5次。
其次，最无力吐槽的就是中控屏幕和功能屏了。居然没有夜间模式，白底的设计在夜间行驶的时候异常难受（亮度已调到最低，不懂设计师为什么不设计可以调更黑直至黑屏）。而且功能屏每次亮度降到最低后，下一次重新启动又得再调，没有记忆设置功能。
然后，智能程度更是无语了，也不知道是不是新的8155芯片原因（没感觉8155有多🐮，可能参照之前的版本相对快了一点吧），基本就那几个系统自带的软件，不开放其他软件下载。因为屏幕过亮的原因中控屏基本处于关闭状态，感受不到科技感。
还有，座椅是真的不是很舒服，腰部会凹陷进去，时间长了颈部和腰部很难受，得另外买腰靠和颈枕，不然你试试就知道有多难受了。
还有，新势力通病，售后很拉…广告打的很响亮，砸了很多钱，但是工作人员售前售后都很不专业，很多问题都回答不上来。或者他们也无力解决。
还有左前方视野也有待改进，视野太差了，转弯得特别注意
最后，给哪吒提一下建议吧，毕竟车子也买了，也退不了货，也希望哪吒能越做越好，毕竟品牌搞好了车主也受益。
1.当务之急，赶紧出夜间模式，这个属于重大的设计失误，简直不可容忍的重大安全隐患，新上市到现在这么久了还不能有个解决方案，你得让车主忍到出事故后再道歉补救吗？
2.丰富车机app软件，看着挺有科技感的车子，使用起来却是完全感觉不到科技内容，就跟拿着AWM却没有子弹一样难受。
3.售前售后服务方面需要加强，并不是说态度方面不好，而是需要加强熟练业务能力方面。

暂时这么多吧。以后如果有碰到更多问题再来和大家交流分享，毕竟刚提车不久。真实的使用感受仅供参考！",2022-10-24,福州,
逗叫帅杰,哪吒U提车快一年了，优点车内空间较大，后座坐3人不晓得挤，对于紧凑型suv，相当可以，外观比较时尚，内饰二块大连屏显得高大上，内饰用料比较足，座椅支撑性好，续航的话，电车冬天都费电，我的是续航401的，高速续航120的话能跑了150公里吧，下道能跑270左右，夏天的话好点，能达到200多，下道300➕，油车的习惯，大众cc长期地板油，车机智能系统，有点识别不清，你和朋友聊天，偶尔小U蹦出来和你聊天，还有电车的夏天空调制冷快，制热不行毕竟电阻丝加热慢，还有就是车内温差大，玻璃容易出雾气，开外循环不容易除掉，外观装饰条容易脏，不好清理，大灯led远近光一体式的，远光不够亮，高速的话有点暗，a柱盲区有点大，后视镜比较小，视线不是太好，电车扭矩大，深踩油门，起步的话轮胎打滑还有雨天行车尤其容易打滑，需要注意安全，计算好刹车距离，我买车时赠充电桩和权益充电3年/2000度电，充电的话外面相当方便免费的不用白不用，家里的话也安装充电桩，阶梯电价晚10点到早8点电费0.3元，公司免费充电，用车成本太低了，去年疫情严重，3个月没动车，一共用了500块多点费，跑了2万公里了，外面权益用的也快没了，用车越多越省钱，作为家庭第二辆车是个不二的选择，哪吒u性价比超高,2023-02-08,唐山,
用户415346642603,"买的是21年环球版500公里，用车半年多，开了1W多公里，讲一讲存在的小毛病吧。
1：360经常黑掉，雨天天气不好的时候特别频繁，这个问题反映了几次，解决方案都是重启屏幕，重启确实有效，不过一直来回重启太麻烦了，不知道有没有其他的解决方法。
2：车子油门不能踩太凶，轮子会原地空转。带有赛车起步的声音。（可能是自带的轮胎不好）
3：倒车时 制动感觉没有那么灵敏。倒车要慢点。
4：买的时候觉得A柱宽点就宽点吧，现在发现晚上尤其下雨天，视野真的不好看。
5：开车的时候油门和刹车踏板的高度有点不适应，从油门转到刹车有撞到两三次，打算去调下。（不知道会不会影响质保）
6：关门的时候，如果窗户全关的状态，还是挺费劲的，如果坐车里都有想骂街的冲动，那声音那震感，灵魂都震出来。（是说它门不好关呢还是夸他密封做的好。换电吸门更好点吧）
7：个人而言旋钮档位，光靠手指力量需要一些力气去拧。看着好看，但是实用真的不如其他的几种。
8：整车不管外观还是内饰，粗看还是不错的，但是不能细看。比如后尾门两侧缝隙不均。
9：电动后尾，横扫打开的概率特别小，要找到位置，去踢才行。
10：方向盘打死会有点抖。
11：最想吐槽一点就是放水杯的位置，非常的不方便，于是我买了个方形扁平的杯子。

看完以上有人会以为我是贬哪吒，实际上我自己用的感觉还真的不错。大赞一手空间，空间真可以，而且车内的连屏、烤漆……要科技感有科技感，要时尚有时尚，目前为止没后悔吧。
L2真不错，通常在路况较好的高速上用，解放手脚。
遥控汽车我用的还是比较多的，平时经常遇到车位比较小，倒进去人就出不来。
感觉没油车耐c但舒适性和使用却强一些。
目前还没有一次性开出过300公里，日常几乎在公路上开，没走过山路或者恶劣的地形，就怕电池刮擦。
以上是非专业人士，仅从个人体验上讲，也仅只对自己的这台车而言做个简单分享。",2022-10-12,温州,
跟我重名的到底是谁,"购车时间：2021年11月
累积总里程：34126KM
总体感受：
1、性价比很高；
2、车型稳重，外观大气，内部空间宽敞，2770的轴距带来的后排空间秒杀同级别B级车型；
3、提速非常畅快，方向盘丝滑，有推背感；
4、高速续航一般，401的续航实际大概240-250KM（如果能忍受高速保持100-110以下，实际续航还会多一些），经常跑长途、高速的，不太推荐。不跑或少跑高速的，超级推荐。

具体感受：
         刚开始选这款车的时候，对比的是哪咤u Pro和零跑c11，由于C11等的时间更久，所以最终决定选哪吒u pro。
         这两年中国的新能源技术开始弯道超车，相信在不久的将来会在世界领先。对于纠结燃油车和新能源车的车主，这里我直接说个结论——如果不经常跑长途、高速，必选新能源汽车，谁用谁知道。
         综合行车费用，比燃油车要少非常非常多。平均1公里0.08-0.1元，高速跑的多一些，每1公里0.12元左右。当然，这都是用家用充电桩0.56元/kwh计算，如果全部在外面充电桩上充电，价格要翻一倍（充电桩有管理费）。至于保险费用，不要听网上喷子胡说八道，跟燃油车费用差不太多。
         这款车的后排空间是真的大，1.75身高，膝盖到前座有4-5拳的距离。内饰也不像是10多万车的内饰，不算奢华，但比一般的十万多车型内饰好多了。后备箱空间也挺大的了，足够用了。
        驾驶感受就不说了，特别好开，简直像玩具一样。超车加速很猛，零百加速8秒多。
         哪吒U Pro，我在用车的一年半时间里面，基本没出过故障，进有一次空调水加热器坏了，无法制热了，4S店免费给修了。
        最后，有电池终身质保，只要不用于营运（连续12个月不超过30000公里）。",2023-04-25,菏泽,
机智的清风jm,"1，首先外观上确实很犀利，前大灯后尾灯的造型设计非常独特，有辨识度，也非常的时尚漂亮。
2，其次整体的内饰为皮质座椅，做起来很舒服，软硬适中。一体式的仪表大屏，看起来非常简洁时尚，但简洁而不简单，比油车的布局好看太多了。
3，配置上就太牛了，直接在车上标配了行车记录仪，省的后期自己去安装了，也美观了许多，很多高科技智能化的辅助驾驶系统，定速巡航，自适应巡航，车道偏离预警，太多太多了，最最重要的就是喊一句，你好，哪吒，让干嘛就干嘛，方便太多了，也提高了驾驶的安全性。
3，整体空间，前后排坐个一米八的大个子没问题，还比较富裕，哈哈对于我一米七的小个子来说，那就是暴富了。后排储物基本上够用，没装满过。
4，续航，市区开下道基本都能跑400公里。剩余那一百哪去了，我也不纠结，毕竟是理科生也能理解，理解不了的可以换种思路去思考，跑多跑少你都要过程去补电，养成及时补电的习惯，就不会再去关注续航了。不过高速行驶确实掉电厉害，基本在略低于1.8左右的比例，
这个也能理解不纠结，毕竟和别的品牌相比大家都一样。

【空间表现】
非常好
【续航】
中等偏上
【充电时间】
好
【最不满意】
有时语音控制不灵敏
【购车经历】
比较愉悦的购车经历

【提车价格】
179800
【驾驶感受】
提速非常快
【亮点配置】
智能座舱，行车记录仪，电动尾门
【动力表现】
强劲有力，远超燃油车",2022-09-18,杭州,
棒棒哒ys,"【空间表现】
空间很大，适合家中人多，或者经常出去。

【续航】
目前最大的问题，算是电量的事情，交车的时候满电，跑了150，剩下106。第一次电量有点虚。因为开车时间一直在12.1.2，算是青岛最冷的时候，续航基本五六折。

【充电时间】
充一次电大概1个多小时，第一次花了70分钟，从百分之30到充满。天气越热，充电时间相应会减少一点。

【最不满意】
看到别的车友说有小毛病，可能我比较佛，车到现在来说，一直很好，很感谢。可能目前要说不满意，就是冬天续航吧。其余还挺好的。

【购车经历】
10月份订车，期间来了两辆，都不是我的，终于第三辆到我了，车架号也好，外观啥的都很好。没涨价没减配之前的。
【提车价格】
12.98没有活动。保险三千多，没改革之前的价格。上牌自己去的花了200元以内，交给的交管部门。全款，不牵扯手续费啥的。
【驾驶感受】
燥音我看之前有人提到过，我开的时候感觉挺好的，可能是双层隔音玻璃，自己感觉噪音挺小的。
方向盘有点轻，但是有一次转弯，我大哥说挺稳的。
有人吐槽方向盘只能前后移动，不能上下移动，可能作为女司机，个子矮，不需要移动。遮挡屏幕的问题，可能也是个子合适，挺好的
【乘坐体验】
后排的大空间随便挑战。不过作为开车的，只能看他们享受
【动力表现】
我一般开三级能耗，加油有点肉，但是也会在红绿灯前秒杀一排车了",2022-01-03,青岛,
Shawn,总体评价 这个价位买到这样外观和空间的纯电suv，性价比无敌了！我就是冲着高性价比去买的。目前来说总体还是很满意的。 先说外观吧。 其他都很满意，惟独前大灯感觉有点过于浮夸，还有锁车和充电的时候前面那一条跑马灯，略显非主流。 内饰 还挺对我的胃口的，基本全黑的内饰，中控钢琴烤漆和旋钮换挡，双连屏仪表盘，一体式座椅，总体来看比较沉稳大气。 配置 前排电动座椅这点很赞，自动驻车用起来也很解放双脚，定速巡航，倒车影像，倒车雷达可以满足家庭用车的基本需求。这款没有360，过一些小路和倒车时还是得小心，毕竟车也比较大。 空间 空间是最满意的，比我亲戚家的老X3都大。我身高183，体重76，坐前后排都很宽裕，后尾箱也很大，后排也可以放倒，拉货搬家啥的都没问题。 续航 这个刚提车没什么发言权，表显能耗14.5，和新车贴的那张纸一样。54度电，现在广州夏天粗略计算能跑350以上。 智能化 丐中丐版没啥智能、小U都没有，导航和音乐还得等猴年马月的ota升级。只能安慰自己智能化越少故障率越低。 驾驶感受 电车的加速动力都没的说，家用完全够了。超车加速什么的都没压力，唯一的缺点就是左侧A柱和后视镜太挡视野了，每次左转或者掉头都得把头伸到很前面去看，不然就等于盲转向，这个缺陷只能说开车转向的时候慢些了，基本无解。,2022-07-07,广州,
Darius16,【购车经历】 21年12月底因朋友推荐于大连购入。提车后自驾回沈阳，途经大约5.6个服务区，第一次驾驶电车有里程焦虑，遂于第一个服务区就去充电，结果服务区全部充电桩都显示充电失败，询问4s销售人员，被告知高速国网桩子很多不好使，让我换下一个服务区试试，因第一次驾驶电车，对此深信不疑，归来途中只有两个服务区的充电桩能够顺利充电。 回沈后发现很多充电桩别的品牌电车能正常使用，我的哪吒依旧充电失败，以为是充电桩对不同品牌电车不适配，也没放在心上，直到朋友与我同型号的哪吒能够顺利充电，才发觉是我的车有问题！再次联系销售，给出的答复是系统问题需要把车开回大连进行一下系统升级，被告知近期沈阳能新开4s店，可以等到时候再修，就不用去大连折腾，加上口罩原因，故一直等候。 等到23年1月初依旧没有听说沈阳新开了哪吒4s，所以开车去了大连进行维修。维修的过程就是系统升级，升级过后师傅带着我找了一个充电桩试车，很尴尬的是显示充电失败，又换了两个不同充电站的充电桩，还是充电失败…最终得出结论，这个需要从厂家调人进行维修，建议我先回沈阳，3月份沈阳会开4s店再进行维修。回来途中发现原有的三种驾驶模式没了，动能回收调节也没了… 时至今日，依旧没等到沈阳开4s店，建议想要购买的朋友看看自己的城市是否有4s店吧，要不修车很麻烦，刚刚又预约了下周去大连进行维修，希望能修好 【空间表现】 后排空间很不错，家用绝对够用，后备箱略小，但是问题不大，毕竟没那么多东西 【动力表现】 低速时提速很快，动力输出优秀，在这个价位，动力表现个人感觉是相当不错 【充电时间】 表显剩30km左右时去充电，快充耗时约1.5小时左右，冬天需要电池预热，时间会长一些，约2小时左右 【续航】 春夏大概在320-360km之间，沈阳冬天比较冷，大概在160-200km,2023-03-14,大连,
红魔743,7月4日提车正好满月，当初998就看中了，可惜家人不同意一定要拍牌油车，结果一张标书没中拖了6个月，998拖成了1098所以退而求其次买了畅行版（还是顶着反对买的）。用了一个月真的香！香！香！ 【提车价格】 10.58+4100保险+800上牌费，没有其他费用，送的充电桩安装权益卖掉了，销售送了个毯子和行车记录仪，其它送的东西没卵用。 【空间表现】 前后排空间都很大，坐的都很舒服，后排翻倒就是床，纵深大概165左右，因为后排翻倒不是纯平而且长度差了点，建议头朝车尾睡会很舒服。还有一点表扬的是储物空间很多，前排门上两个，扶手箱及下面杯架还有中间小储物隔，总之能放东西的地方真的很多。还有就是新车异味很小很小。 【续航】 除了第一箱电感觉有点虚，后面基本都挺实的，当然由于单位充电免费所以平时开车都不会刻意节电上下班基本都是快速路，都是贴着限速开的，平时空调开16℃4档以上风，上车前空调先开好，晚上睡车里16℃开4个半小时掉电20公里左右。 【充电时间】 单位慢冲，开到100-200左右就冲了，唯一一次为了深度放电（一个月要有一次）开到70冲，大概用了7小时左右充满。 【驾驶感受】 隔音很好，电流声也很小，基本就只有空调出风声和胎噪。油门很轻，不小心就踩超速了，车速快的时候刹车比较软，车速慢的时候很硬，所以慢的时候不太适应，经常点头刹。 【动力表现】 电车提速真的好，加塞、超车、起步抢道都十分方便，作为市区通勤简直完美。 【最不满意】 首先就是a柱造成的左侧盲区巨大，左转必须要头往右偏去看，不然真担心左转撞到隔离带或对向车。 其次就是这个车钥匙设计的简直是妖孽，放口袋里只要有一点点挤压就会误触，放裤子口袋里上下车经常碰到开锁关锁，烦死了。 第三就是转弯信心不足，匝道超50就有点倾斜了，弯急点的一般不敢超40。 第四就是电车不能随心所欲加装，哪吒貌似没有售后装潢部，连个加装360都不行，外面加装又怕影响三电。 最后擅自就是减配，玻璃窗好像是单层的，配置说是双层，不过静音还好。但最蛋疼的是说好的语音功能和导航功能呢，本来看论坛说是6月30日更新出来，结果到现在连个声音都没有，这是最不能让人接受的，毕竟这是企业的诚信问题，希望哪吒官方能早日解决。 【购车经历】 由于单位充电免费，用车纯市区通勤，不考虑开到外地（出去高铁+滴滴，自己开多累）而且有睡车里的需求所以一开始就想买纯电车，而且要方便车里睡觉的。去年998时就想买了，奈何家人不同意要油车，后来拖到三月等第一张标书结果再决定，由于涨了5000而且毕竟是小品牌而且关注懂车帝很多人反映小毛病不少所以一开始看中埃安y，12万500公里续航可惜刚看完涨10000了，然后转战海豚，也是刚去店里了解了没几天就涨了6000而且海豚头部空间狭小，我开车习惯把座椅调高结果头直接碰到车顶，后排头也接近车顶。所以兜兜转转又回到了哪吒，在等标书结果时哪吒也涨了，不过畅行只涨了3000，比较下来性价比还是哪吒最高，而且想想畅行虽然减配厉害但感觉越简单的东西越不容易坏，所以3月26日标书最后一次没中下午就直接去店里下单了。还好够果断订完车就封控在单位了，等6月出来已经又涨了12000，还是蛮幸运的。现在新车一个月就开了2000多公里，上下班通勤来回50公里，晚上饿了睡不着开车出去吃个面再回来，或者帮老婆买夜宵等等，总之用电白嫖，所以日常使用费几乎为零，小毛病也没有，还是十分十分满意的。,2022-08-04,上海,
飞花瑾年,同级别还有哪个车跟U pro一样，里空间最大，四轮独悬，碰撞5星的？而且U外观个性，很有辩识度。特别是环绕流水灯组，非常酷炫，还很有仪式感。内饰在科技感的同时又保持了简约和大气。全都是软性皮质包裹，显得比较有档次。操控灵活，尤其是运动模式，起步快，超车有信心。车子空间大，座椅不会像小轿车似的整个人窝在座椅里。加上U后排地板中间全平的，人坐在里面，整个人都挺舒展的，我妈妈每次坐小轿车都会晕车，坐U没晕过。语音操控也非常方便，切歌、关窗、开窗、除雾导航等，都可以语音控制，大大增加了行驶安全性。开哪吒U还非常经济，我每天上下班17～20公里。以前开油车一个月要500～600元油费。换开U后每12天到半个月充一次，每月电费只要30～50元。哪吒销售和客服都挺有心，不会像有些品牌的销售一样卖了就不管了。我提车后销售给我拉了一个VIP服务群，一共16个人，其中15人是哪吒客服，有什么问题群里问，都能得到比较及时的回复。哪吒厂家也比较重视车主的建议，之前提的建议，现在都改了。哪吒U还挺硬，上周和一辆车发生磕碰，我的U很难找到擦碰痕迹，对方车伤了两个面，其中一个面还变形了，震惊到我了。 【空间表现】 同级别最大 【续航】 400里程 半个月一充，方便 【充电时间】 车位充了个人充电桩，剩余20%～30%充电。下班预约好，谷电时间充电，到早上上班就充满了。户外充电桩大概1个半小时吧。 【最不满意】 转弯半径略大，希望后期车型能优化一下。 【购车经历】 销售和售后都很好 【提车价格】 11万 【驾驶感受】 操控性很好。提速很快。主要是很经济，一个月电费只要30～50块。只是我家油车油费的1/10还不到。 【动力表现】 运动模式提速非常快，绿灯起步时领跑。 【乘坐体验】 空间宽裕。左右手臂正好有搁的平台。,2022-11-25,嘉兴,
SuperStreet超级街头,"现在呢新能源汽车可谓是百家争鸣，哪吒汽车是其中的一支生力军，哪吒汽车其中最热销的一款车型就是这款哪吒U，哪吒U的极地之光LED大灯辨识度非常高，走在街上是一个亮点，一眼就能看出这个车型。

它的灯语效果呢，也非常有趣，科技配置也很在线，自动开启大灯，自动远近光，它的续航模式有三种，分别是400公里，500公里和最高的610公里的续航。

哪吒u呢，它属于紧凑型SUV，车长4549mm，宽1860mm，高1628mm，其中哪吒U Pro最高配的轮毂尺寸，匹配的是19寸的轮毂，然后轮胎呢，是225/55 R19的一个轮胎。


我们现在来到车内，可以看到我开启车门，这个座椅记忆就可以起到效果，这个座椅呢，也是赛车造型的座椅，它有座椅加热的功能，也是电动调节的，配置还是比较高的，可以看到它的屏幕呢，是一个双12.3英寸的双联屏，下面呢，它配了一个8英寸的功能屏幕，可以调节空调，座椅这些设置。

可以看到哪吒U Pro最高版它有一个透明A柱的功能，在A柱上集成了一个屏幕，通过这边看到外边，这是一个非常有趣的配置，它使用的这种旋钮式的换挡形式，我非常喜欢，另外呢，它四周是一个触摸式的控制按键，由于这个触摸式它没有回馈感，有时候它可能会容易误触，或者有时点不到，这点我希望在下一步可以升级改进一下。

在中控台它会有一个小You机器人，当你在和哪吒汽车进行语音交互的时候，它会做一些动作一些表情，非常有意思，我想这个配置，会吸引很多女士车主。",2022-10-29,,
