字段1_文本,字段2,时间,字段3,时间1
模界高手—将军,一辆按照油车思维设计的电车，你拥有100%控制的权利！空间大，静音好，行驶质感很好，辅助驾驶让你轻松！至于急刹车晃的问题，存在，但适应就好！为了测试这辆车的性能，我专门跑了一次小长途，一次大长途，小长途是去了一趟驻马店，大长途是江苏丹阳去了一趟甘肃天水，玩了麦积山，从宝鸡翻越秦岭山脉一路高速涵洞，然后第三天从天水回头翻越了秦岭山脉到宝鸡，在从宝鸡南下高速翻越秦岭山脉，路过太白县，留坝县出高速自驾秦岭腹地的最美乡村公路，期间山路，陡坡，破路，翻越海拔2200米的及其险要的山峰，山路累计行走了39公里，时间累计4个小时，路过张良庙（运筹帷幄，决胜千里之外的鼻祖），路过情人谷，高山牧场，对了还有一个很大的足球学校，翻越高山的时候我感觉自己都有点怕，担心电车马力不够，还好车经历了很好的考验，从高山下来再次从留坝上高速到达汉中市！期间从洛阳去天水的路上温度39度，轮胎气压都变成了2.9（正常我是2.6），好让人担心啊，但是车里面依然不热，空调效果好，如果是我的原来的那辆电车，绝对车里面的是个人要浑身都是盐！作为一个开了三年电车的车主，不建议买无框车门和玻璃天幕的车，因为那样都是智商税：热和不安静！当然我在这车的一个全国群里面，群里面的车也有不经意出现小毛病的，所以我拿到这车就拼命开他，有小毛病提前提现出来！三年来我一直有自动驾驶的配置，长途开车很轻松，这两次开车确实也很轻松（1、车道居中很好，不画龙，和特斯拉一样稳2、能实现保守的打灯变道，然后再次自动车道居中，仅仅限高速使用），劣势相对保守，优势是遇到压线的车超车时候，你能在不压线的前提下转动放心盘稍微远离那车，特斯拉会立马取消车道保持！不足之处是不打方向灯压线会震动（此功能关闭不了），高速上面会减速！总体来说满意，我会多开此车，做个测试！ 【购车经历】 其实不想开电车了，三年时间开过三辆特斯拉了，标续，长续，Y，三种颜色灰白黑，有点想开家里其他车，经常看懂车帝，听说日产出来一个增程的车，奇骏，去看看，发现日产4S店有辆电车，因为我没有听说日产有纯电车，好奇，就准备试驾一下，结果开完感觉不错，打动让我买的是打灯变道和车道居中，和我的原来车一样，谈价格，好便宜，19.9万长续航顶配，90度电池，好爽啊！算了就搞一辆开开吧，四S店老板又是个大美女，没有把持住就交了定金买了！ 【驾驶感受】 感觉很好，空间大，安静，舒服，适合自驾！ 【续航】 续航估计大概高速108公里时速的话能跑420—450公里，国道和市区更加多了 【最不满意】 感觉品控和心里的日系车有微微差距，充电口在前段不适应，说送我膜的，结果去贴的时候前挡没有，我自己花钱贴前挡，后备箱不是铁的，我的爆闪灯吸不上，其他还好 【保养】 老板比较厚道主动送了我两次保养 【乘坐体验】 老婆自从跟我长途了一次后，家里的保时捷，超跑不开了，稍微远的路就让我开艾睿雅！,2023-08-23,镇江,
十三先生Studio,【最满意】一开始看到这款车外观的时候，我不太相信这居然是日产造出来的车，因为它与日产其他车型的外观设计风格差别太大了，但是很对我的胃口，还有就是这辆车的内饰，用了很多的软材质包裹，无论是触感上还是视觉感受上，都让我很满意，让我最喜欢的还是它中控屏下面的木纹饰板它将空调的控制按键集成在上面，通过触摸来控制感觉很高级 【最不满意】最不满意的就是车机系统，还是日产的老一套东西，没有什么新颖的功能，人车的交互感受也比较差，方向盘按键布局不是很合理，而且没有太多的辅助驾驶功能 【驾驶感受】方向盘转向力度舒适，指向性很好，虚位小，底盘很扎实，减震在过坎或者减速带的时候干净利落，没有多余的回弹传到车内，座椅支撑性还算是不错，高速过弯的时候身体也不会大幅的偏移 【乘坐体验】得益于2775mm的轴距，让这部车的后排乘坐感受在同级别中有着不错的感受，比较宽敞，靠背角度很躺，坐垫很厚，坐姿比较舒展，再加上纯平的地台，腿也可以随便的伸展 【总结】总的来说这款车无论是外观还是配置方面都很不错，如果对于智能化配置不是特别在意的话，作为家用车是一个不错的选择,2022-11-25,,
6号非编社,"外观：最大的还原了2019年底在CES展上看到的概念车，仁者见仁智者见智，不过多评价。

内饰：设计简洁，不过不清楚这个价位的车在门板用料上还是有种塑料的廉价感。

配置：最吸引眼球的是那个可移动的中控台，前排中央通道成了个大通铺，可惜吧…到现在我也没想好有啥用途?

智能化：怎么说呢，如果是这个价位的自主车绝对比他提升不止一个档次！从多媒体瓶材质到软件响应再到UI--啧啧

驾驶：底盘厚重感明显，区别传日产统燃油车，整体驾驶感受偏舒适，油门行程短且细腻，刹车脚感偏软，头段有点虚位但线性不错，方向盘偏沉，且有点粗，可能对女孩不太友好。整车虽然是台电车，但是驾驶感受不会让人有不适感，且不晕车

单踏板模式体验：开启单踏板模式后，制动力很缓，更像是加强版动能回收(这个可以插空境，开启单踏板模式后，脚从油门抬起后，刹车会自动踩下)，给结论这种单踏板模式要比特斯拉感觉更好，且能关闭，这样更人性化",2023-01-20,,
ufmiwlifal,"从油车到电车的置换，主要的顾虑还是充电和续航两方面的问题。电车现在处于发展阶段，各项技术可能没有油车那般成熟，在置换的时候还是比较犹豫的。但是在油价上涨和日产优惠活动的大环境下，最终选择了ARIYA。


充电方面，刚开始的担心比较多余。随着新能源汽车的普及，充电桩如雨后春笋般应运而生。在市内，小区楼下，商场停车场都有充电桩，在老家小县城，都有二十几个充电桩，高速服务区也都有少量充电桩，所以充电还是比较方便。


续航方面，个人认为续航跟外部温度有很大的关系，小部分取决于开车习惯，充满电预估续航还能跑将近六百多公里（没开空调的状态下），没有续航虚标问题。


驾驶方面，动力很足，起步依然很有劲。视野个人觉得SUV前盖左右两侧往上翘，会有一定视野盲区，驾驶视野肯定没有轿车那么好。道路辅助驾驶，在一定的情况能有效的缓解驾驶疲劳。特别是爬山下坡的时候开B档动能回收感觉很好，都不用踩刹。",2022-11-15,,
风光之中的前方M6,"之前买过上一代奥迪a6l，之后就是大众途观L，现在想换台纯电车，最好是续航长一点的，最开始看大众ID4，不满意，最终买了刚上市的日产ARIYA，长续航顶配版。


底盘和燃油车驾驶质感相差很大，感觉吸在地面上，同样回家的路面，颠簸变得很轻微，这也是超2吨车重带来的效果，和悬挂可能没有多大关系，行驶质感要比A6L要稳。

驾驶室的视野很好，A柱比较来说更竖直一些，遮挡了车头很大部分的视野，都是SUV，比途观L视野好太多了，途观L的A柱相比较来说太长太倾斜。


转弯比途观侧倾好很多，很稳重，不知道极限转弯会不会爆胎，毕竟轮胎吃重太多了，一般车也就1.5吨。


续航方面，刚到手开的比较慢，很少数急加速，因此满打满算100-0，系统显示600+，这可是都是早晚高峰的路况下的数据。


内饰不错，气味比以往的日产车都要年轻很多。


空间巨大，秀的一批，因为我怕有时候应急要睡车里，就放弃了ID4系列。",2022-11-14,,
牛奔试车,"【动力方面】这款ARIYA高性能四驱车型采用了前后双电机的动力布局，最大马力435匹，来点推背感也轻而易举，533公里的续航里程，加上快充系统，可以满足日常通勤甚至中长途的出行需求。

【内饰方面】ARIYA双12.3英寸的液晶屏科技感不错，当然了，这在这个价位的新能源车型中很常见，不过个人最喜欢的，是它的这些隐藏在木纹饰板里的触控按键，设计感非常出色，而且它还带有震动反馈，手感以及实用性都不错，配合大面积的反绒皮包裹，营造出一种简约、居家、又不失档次感的内饰氛围。再就是这个电动伸缩储物盒，和这个可以前后移动的电动扶手也给艾睿雅的内饰带来了一些新意。

【人机与中控】12.3英寸的中控屏，功能同样也比较丰富，车联网、OTA升级、在线娱乐、实时导航等功能都有配备，而且反应的流畅度也还不错，没有什么卡顿。

【座椅与空间】日产大沙发的真香定律在艾睿雅上同样适用，座椅宽大厚实、填充柔软，而且全系标配了多向电动调节、座椅加热以及记忆等功能。后排带有空调出风口以及充电接口，而且后排座椅加热都是全系标配的。前排座椅调整好之后，后排剩余腿部空间还算比较宽敞。

【体验小结】它有推背感、更有设计感，配置丰富、驾乘舒适，续航里程也够用，综合产品力还是不错的，但是30万左右的价格，给这些闪光点遮上了一层薄纱，毕竟这个价位的可选择性太多了。",2022-11-16,,
言車社,"基本大体延续IMx零排放概念车打造，在维持日产家族特质的基础上，吸收了颇丰的新能源元素。

经典的熏黑“V”格栅，在两翼加入了呈一体化的流光飞翼LED灯，其由四颗独立光源和一条LED灯带组成“V”字型结构，启动时会出现动画效果。


腰身也相对紧凑，相对圆润的曲线线条与下沉车顶，组成跨界特质。轮圈也做了几何处理，三角元素在黑白配色的交织下，称得上是新车的提分点。

车尾则采用当下主流的熏黑贯穿式尾灯组+大尺寸扰流板。下方梯形包围，与前脸遥相呼应，完善整车的和谐度。

梯形双联屏，或许在2年前很流行，但如今随便找个10万级国产新能源车，都能看到双联屏造型。电子挡杆、自动空调这个小配件也不曾缺席。真正算是新车亮点设计当属贯通式前排座椅，中央还加入了最大可放置70L登山包的额外区域，这个设计在SUV市场中还是十分少见的。

此外，新车并没有将空调功能集中到中控大屏中，而是通过木质花纹装饰板+虚拟摁键的结合，既能提升实用性与便捷度，也能强化车内的色彩饱满度和高级质感。


配置方面，作为日产迎战纯电市场的力作，肯定表现不能太水。通过双12.3英寸双联屏+HUD抬头显示形成的三联屏联动，让操控颇感便捷。其内部搭载了日产最新一代的车联网系统，不仅能支持导航、车载电话、在线音乐及影视等配置，还能实现新兴的AR实景导航，科技表现在线。

安全配置方面，其配置了最新的ProPILOT Assist 2.0，可实现主流的L2级辅助驾驶水平。提供自适应巡航、360度全景影像等常规配置的基础上，还能提供全景式智能监控影像、预碰撞智能刹车、后轮自动紧急制动等高阶产品，安全表现是毋庸置疑的。


空间表现颇为亮眼，尤其是2775毫米的轴距，已经属于中型SUV水准，能够有效保障后排乘客的腿部环境。而座椅加热/通风/电动调节，这些配置也不会缺席，实用性颇高。同时，新车还将采用“0重力人体工程学真皮座椅”，舒适感更优。


动力表现上，新车将搭载EESM-电励磁同步电机，并提供两种动力版本。其中，两驱版车型的电机最大功率为178千瓦，四驱版车型的电动机最大功率分别为160千瓦/160千瓦，纯电续航里程为623公里，电池包容量为90千瓦时，整体水平不会太掉档。

整体来看，日产Ariya的表现并不算弱，甚至在同级别合资车型中，还具有一定的优势性。不管是续航、科技表现，还是空间，个性原创设计，都有着独到的思考。然而，新车入局晚是不折不扣的事实，这也会在一定程度上缩小日产Ariya的市场份额和生存空间。因此，要想突围，定价的优与劣，将成为关键要素。",2022-09-28,,
咸车,【外观】 Ariya艾睿雅作为日产第一款纯电动车，势必要打出金字招牌，但这个外观各花入各眼吧，对于我来讲没有特别吸引我的眼球，甚至觉得很像放大版的奇瑞小蚂蚁。但整体设计还是很有细节的，前方中网采用了墨影晶盾前脸设计，近看还是很别致的。【内饰】内饰连通设计，这在电车领域独树一帜，也有一定实用性。轻隐触控板加上电控中央储物盒，仪式感还是满满的，但细节之处还要加强，储物盒没有植绒，这在放些细碎零件之时，会有些小噪音产生。电控的扶手箱也很特别，在轨道内任意位置都可以悬停，适合不同驾驶人的习惯。【乘坐感受】Ariya艾睿雅的定位虽然是紧凑型SUV，但是它将四轮四角的设计优势发挥到了极致。内部空间足够日常使用。最值得一提的就是这个座椅，日产大沙发。还是名不虚传，坐上去简直不想起来，Alcantara的材质，触感细腻的同时，支撑力也恰到好处，内部填充十分充实。座椅长度也足够撑起整个腿部，靠背包裹性也很好。 【驾驶体验】Ariya艾睿雅的最大功率为320kW，峰值扭矩300N·m。在驾驶感受方面，动力十分充沛。但是舒适模式下，电门会反应比较慢。切换到运动模式下，动力响应会更加直接迅速，急加速过程中，开窗会听到电机声音，但关窗状态下完全听不到声音，双层隔音玻璃起到了很大的作用，整车的静谧性都很优秀。【总结】作为日产的第一款纯电动车，传统车企造车的底蕴也还在，优点也有传承。势必会在内卷严重的纯电动车市场上掀起一些波澜，至于最终销量如何，还是让时间来解答吧。,,,2022-10-19
司马嘉栩,"随着汽车市场开始向电动化转型，各家品牌都推出了自家的纯电动车，而日产品牌也于不久前推出了在中国市场售卖的第一款电动车艾睿雅，且整体定价姿态还是比较高的，不过上市之后似乎并没有带来什么市场反响，出于好奇我也去试了一下这台车，看看其表现能否在当今市场环境中有一定的竞争力。
 
试驾车和展车都是标价29.78w的两驱长续航顶配型，单电机242马力，单看参数表现中规中矩，实际表现上，试驾全程只体验了标准模式，绝对动力还是没什么问题的，和一些竞争对手的单电机版本体感差不多，在法定限速内都还算够用，但肯定谈不上强劲。这台车正常起步的时候不是很快，感受比较柔和，但如果应付加塞的话可能会有些不太好。之后动力响应没什么问题，基本上能做到随踩随有。不过这台车的电门即使在标准模式下也不是很线性，从仪表可以看出没踩到底就已经输出了全部的动力，平顺性表现没什么问题。动力总成总体表现还可以，算不上完美，但也没什么大毛病。
底盘表现分开说，首先这次试驾车的胎压也偏高（标准2.6，实车3.0），因此一切都按这个胎压下的表现来讲。不同与以往对于日产的印象，这台车对于路面信息的反馈还是比较多的，不过能感受到过滤，倒也不太影响舒适性，单次大小振动的处理的都还可以，感觉有一定高级感，连续小振动感觉车辆的回弹速度有些过快了，主观上不是很好，当然这点问题不大。但连续大震动的处理就比较一般了，车身的晃动特别是左右晃动特别明显，还是挺影响舒适性的。
运动性表现一般，主观上重心还是比较高的，速度稍微快点的并线和转弯车身的侧倾感觉也是比较大的，不是很想开快。
转向手感一般，低速偏重，之后的增益还行，车头的响应速度低速还算比较正常，速度起来之后明显会变慢，主观上转向会很“钝”，可能对于有些人来说能够增加一些直线行驶的稳定感，但我个人不是很喜欢。车身跟随性倒是还不错。
刹车脚感不太好，从仪表上能够看出有crbs，但刹车时前段明显很空，踩过之后制动力的释放也不是很线性，同时在刹停时偶尔还会有前后的晃动（一般这种SUV可能点头会明显一些，而这台车是感觉前后要多晃一下才能停住），同时在刚开始试驾和中间换手时起步后都出现了闯动和类似于塑料挤压的异响，但路口刹停再起步没有出现，可能与停车开门电子手刹介入有关，不太清楚是个例还是怎么回事，大家也可以试试看看有没有这种情况。
NVH整体表现还行，环境音的隔绝在同价位还是比较不错的，风噪和路噪总体表现也没什么问题，电机声音在大的动力请求时也能够听到，虽然声音不算吵，但是没有像多数电动车一样做到完全隔绝。
 
 
静态上，这台车的外观整体还是很有辨识度的，前脸的造型还挺有特点，好不好看见仁见智，总体看起来和传统SUV不太一样，另外从外观也可以看出这台车在风阻优化上应该做了不少努力。
 
 
内饰看起来还是挺不错的，门板和中控台上能摸到的地方基本上也都是软质材料，做工用料都挑不出什么毛病，不过这个电动的扶手箱和电动的抽屉实在是有点夸张了，可能对于第一次看的人来说还有一定的新鲜感，长期使用的话感觉意义不大。另外日产这次比较贴心的给常用功能留出了按键，这排按键是类似于之前苹果home键那种虚拟按键，单次触按会有声音和力度的反馈，但如果长按或者连续快速点击的话，虽然操作有反应，但是声音和力度反馈来的就有延迟或者干脆没有了，并不是那么的跟手。车机系统表现还行，反应速度和流畅度还算比较快，菜单逻辑和日产比较新的那台车机逻辑很接近，感觉还算比较好上手。
 
 
前排人机工程学整体还行，坐姿总体偏高，如果按我的习惯把方向盘和座椅都拉到最低的话会挡到仪表上的一部分信息，虽然挡到的内容不是很重要，但总归是不舒服。需要坐高点妥协一下。后排表现一般，腿部空间和头部空间都还算可以，地台基本上是正常水平，没觉得特别高。座椅乘坐感受没什么惊喜，但也挑不出什么大毛病靠背角度虽然可调，但我觉得还是可以再缓一些。后备箱空间还行，溜背的设计会侵占一部分竖向高度倒也能接受，盖板下边还有一层隐藏部分可以额外放置一些小件物品。
 
配置上，这台车的配置基本上满足需求没什么问题，常规的舒适性配置和驾驶辅助都有所配备，全系标配了两排座椅加热，如果能够配上座椅通风就更好了。
总的来说，这台车本身的表现我认为还行，但是作为一个号称造了很久电车的厂商来说这台车的不完善之处还是挺多的，更残酷的现实是现在很多厂商的电动车都做得比较不错，这台车在一些竞争对手面前并没有太强的竞争力，考虑到较高的指导价确实没什么性价比，当然据我看网上一些消息表示这台车的实际销售价格和指导价还是有一定区别的，如果感兴趣的话也可以去所在城市4s店问问，根据实际价格决定是否要购买。",2023-03-21,,
Nice好车,"国庆期间，到店里看了看东风日产Ariya这款电动车，网上对它的关注点，似乎是售价。因为在合资几大品牌的电动SUV里，对比大众ID系列和本田的e:NS系列，Ariya卖27.28万起，是最贵的。

不过，在发布会售价表上有一栏“限时尊享权益”上写着：截止到2022年11月1日前下订长续航版（27.28万元），可免费升级为长续航顶配版，且还能享受2万元现金返还！

听着是不是很耳熟？这和小鹏G9的增配降价，是不是一个意思？传统合资车企也学到了新势力卖车的精髓了。那补贴后25.28万起的Ariya值得买么？

当然一分钱一分货，我们之前也实车体验过ID.4系列和e:NS系列产品，包括还没上市的丰田bZ4X，对比之下，Ariya无论是车身尺寸、标配配置还是豪华程度，也是最高的。且官方宣称“210亿公里历程无重大自燃事故”，看得出厂家对这款车型是信心满满。

在国庆期间，广州郊区这家东风日产4S店，这台 Ariya也是刚刚拖进店里摆放，接待的销售对此车的相关信息还不是十分熟悉，只是强调了两点：

一、虽然价格公布时看起来比较高，但现在下订有2万现金补贴

二、就配置性能而言，Ariya还是在线的，譬如比亚迪海豹61度铁锂电池都卖22万元，这个车搭载90多度电的宁德时代三元锂电池，卖25万多并不贵，要知道电动车的电池是很值钱的。

另外，现在下订还长续航版车型，三电和整车终身质保。看得出，传统车企在电动化市场的底气还是很足的，这和市面上的众多新势力造车还是有所区别的。

作为潜在购车者，小编也对销售的话术进行推敲：

首先是这个补贴2万和3万元的现金，截止期是11月1日前下大定并锁单用户。而且从销售口中了解，这补贴现金发放渠道目前还不是很清晰，具体还是要以厂家信息为准

其次，90多度电的电池，续航623公里的指标并不算十分出色，且还是水分较高的CLTC标准，就技术指标上Ariya并没有新势力造车那么的吸引眼球。有网友称它为“六边形”车型，很均衡，但也缺少过人之处。

换言之，在售价并不占优的前提下，Ariya在技术性能上又没有大书特书的亮点，那接下来在市场竞争中，很容易陷入拼价格拼优惠的混战中。


从上市发布的销售策略看出，厂家对Ariya还是颇有信心的，但基于国内新能源市场激烈的竞争，也在配置和价格上花了更多的心思去讨好消费者。那么，抛开价格层面，Ariya实力究竟如何？

现在大家买电动车，很容易陷入一看价格二看续航的怪圈。Ariya在价格和续航上并不算亮眼，相反在实车体验后，我们对它在空间、设计和用料上印象深刻。

外观上看Ariya不算惊艳，简约的设计符合大多数家庭用户的审美，当然它会比很多挤眉弄眼的新势力造车SUV产品要顺眼得多，毕竟是一款全球车型。

Ariya车长4603毫米，轴距2775毫米，数据上看不算什么庞然大物，但坐进车内你明显感觉到它在空间营造上的出色。

得益于1900毫米的车宽，坐进车内你感觉横向空间很充裕，加上中控贯穿式的分层设计，几乎没有按钮占用车内空间。中央扶手采用了可以前后移动的设计，方便乘员在驾驶位和副驾驶之间挪动。这算一个不小的惊喜。

后排空间体验远比照片来得舒服，座椅很柔软且宽大，地板也是平的，中间位坐一个成年人毫无压力。能把后排座椅座垫做这么长，算是一个本事。

车内的用料和做工，比丰田、本田、大众等同级电动车都来得更为考究，中控采用了类木纹的触摸按键，着车后格调立马上了一个档次。配上特有的三段式车内氛围灯，这才是高品质生活嘛。

另外据销售表示，这车有外放电装置，官方11月开放外放电枪配件售卖，这对那些有户外露营梦的潜在买家，又是一个加分项。

静态体验上，Ariya是有惊喜的，设计上有创意，配置也足够厚道，关键是内饰氛围营造很到位，让你瞬间觉得这25万花得比较值。

总结：

总的来看，小编十分期待店里的试驾车能上路，到时候再会来一次试驾。",,,2022-10-07
车手视觉,哈喽哈喽，今天和大家聊聊东风日产 ARIYA 艾睿雅 2022款 两驱长续航版。外观，新车的外观设计采用的是东方美学理念，前脸为封闭式的墨影晶盾格栅造型，让人一眼就能够分辨出它是一辆纯电汽车。结合两侧飞翼LED大灯组，不仅让整体的辨识度更高，同时也为其增添了不错的科技感。车身侧面的话，东风日产ARIYA艾睿雅的比例感非常协调，而且它的车顶设计也非常讨巧，从车头延置车尾，再配合上它这条银色的镀铬装饰，让其整体更显精致时尚，大尺寸的轮毂采用了双辐式的旋风设计，加上饱满立体的车身轮廓，可进一步提升它的运动范儿。车身尺寸，新车长宽高分别为4603/1900/1658mm，轴距为2775mm，能实现0.297Cd的低风阻。车身尾部，采用了简洁的设计，圆润的设计风格，快速后溜的造型也十分明显，后扰流板十分宽大，造型别致的尾灯组是点睛之笔，内部集成贯穿式灯带，此外，后包围处同样配有尺寸宽大的黑色护板。内饰方面，采用非常简洁的设计风格，依旧能感受到这就是日式的高级感设计风格，无论从用料还是设计思路。双12.3英寸联屏+贯穿式空调出风口是它的最大特点，空调出风口下方还将采用类似“虚拟按键”式的设计，操作时支持触感反馈功能，体验感很好。12.3英寸液晶仪表盘，显示的信息非常丰富，关于驾驶部分的设定十分完善。10.8英寸风挡式HUD抬头显示。挡杆比较小巧，手感顺滑。两幅式方向盘大小适中，两侧也被集成了比较多的功能按键，比如娱乐系统、自适应巡航等。值得一提的是，新车的中央扶手可前后平移滑动，让用户可以根据自己的舒适度来调节前后空间。配置方面的话，新车则提供了在线导航，影音娱乐，远程实时检测，语音控制，自适应巡航，自动泊车，抬头显示等主流功能。车内有效纵向空间达1844mm，C区隔轴距实现了D区隔越级舱内空间；全车地板纯平设计，打造真全平空间，第二排座椅乘坐舒适性非常不错。动力和续航方面，ARIYA艾睿雅长续航版和长续航顶配版最大总功率为178kW，CLTC续航里程达到623公里；高性能四驱版和高性能四驱顶配版最大总功率为320kW，CLTC续航里程分别为559公里和533公里。运动、标准和节能是Ariya三种驾驶模式，日常以标准为主，“电门”踩下，动力输出干净利落，加速踏板比较线性，没有任何突兀感和拖拽感，整体感受很舒服，这也符合日产的调性。得益于电励磁同步的表现，Ariya在低速加速至高速的时候，动力输出依然可以保持高水准，尤其是中后段的途中加速，几乎没有任何衰减感。尽管目前高速限速120km/h，但可以肯定在继续持续加速，Ariya的表现仍然可期。悬架表现可圈可点，整车在悬架滤震性表现出色，面对细碎震动处理到位，悬架弹簧吸附能力很高，而面对减速带、后悬架的回弹力度也适中，保证了车辆稳定。最后：ARIYA艾睿雅作为东风日产在纯电动车市场的实力之作，外观内饰设计上，它都能让我们感受到纯电车的用心和诚意。喜欢该车的朋友可以看看~,2022-11-01,,
二师兄玩车,日产Ariya的外观延续了日产品牌的“V-Motion”设计理念，中网采用“盾式”设计，黑色亮面材质辅以巨大的V型设计，十分醒目。前脸另一个吸引眼球的设计当属流光飞翼LED灯，它从大灯边沿进一步延伸，强化了车辆的科技感。 内饰部分，日产Ariya的主副驾驶室之间是打通的，中央扶手能够电动操控且前后平移滑动，算是比较巧妙的设计。 同时，车内的中控屏达到12.3英寸，并搭载了日产Connect超智联系统，可以支持远程控制车辆、语音控制车辆、车载在线服务、远程实时监测、在线导航、影音娱乐等功能。 空间尺寸上，日产Ariya的长/宽/高分别为4603/1900/1654mm，轴距为2775mm，整个身材与奇骏比较接近，定位紧凑型纯电SUV。不过同价位的问界M5 EV，尺寸更大，定位为纯电中型SUV。 值得一提的是，这款新车传承了日产品牌一贯的舒适性，搭载了零重力的人体工程学真皮座椅，座椅宽大且舒适，超大尺寸的全景天窗还增加了车内乘坐的通透感。 智能驾辅配置的硬件层面，日产Ariya的超声波雷达为4个，毫米波雷达为3个；而问界M5 EV，则搭载了3个毫米波雷达、4个APA摄像头、12个长距离超声波雷达等等。 与此同时，日产Ariya配备了ProPILOT 2.0驾驶辅助系统，加入了高精地图、360度实时信息感应等功能，能够在高速公路上实现单车道导航线路自动驾驶，在有条件的情况下允许驾驶员双手脱离方向盘，同时还可以自动更换车道。 但在合资品牌那，日产Ariya的售价和定位，有些“高不成低不就”，而面对同价位的国产电动车，日产Ariya则显得质价比不足。,2022-10-17,,
C家车探,"外观基于IMx零排放概念车打造而来，使用了日产最新的车标，过去的V型镀铬饰条也变换成高亮黑材质，搭配上狭长的点阵式LED灯组和日间行车灯带，科技感还是做得很到位的。车身侧面没有太多线条进行点缀，使用了目前流行的溜背式车顶，结合19寸的低风阻轮毂和隐藏式门把手。车尾采用了贯穿式灯带，其余也没有过于复杂的装饰。长宽高分别为4603/1900/1654毫米，轴距2775毫米，出色的车身宽度能带来比同级更好的乘坐空间。

内饰最大的看点还是做工和设计，在传统中央扶手和档把区域采用了同级少有的贯通式设计，所以多出来的这部分镂空空间可以放下很多东西。中央扶手台也并没有消失，因为它被设计成了可以移动的方式，通过中控台两侧的按钮就能调节前后滑动150毫米。还集成了很多功能，电子换挡把、驾驶模式切换等功能的虚拟按键都集中在了上面，并且中控台上还使用一整块木纹饰板进行覆盖，明显提升了车内的质感。

装备了一个和特斯拉类似的巨大全景天窗，帮助车内更加明亮敞开，因为是溜背的车顶，艾睿雅还将第二排座椅靠背角度设计得更加倾斜，舒适度还是很有保证的。

动力方面，推出了两驱版和四驱版，都使用了日产独立研发的EESM-电励磁同步电机。其中两驱版最大功率为178千瓦，四驱型前后电机的最大功率都为160千瓦。

续航方面，艾睿雅搭了一块90度的三元锂电池，CLTC纯电续航里程最高为623公里，满足日常使用完全没问题。

虽然艾睿雅从内到外都是日产全新的设计，并且质感也做得相当不错，但是想要在当下的国内新能源市场分一杯羹，在售价上还需努努力，毕竟艾睿雅和其他产品并没有拉开明显的差异出来。",2022-10-23,,
